hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-123,-10,8,2,19,-114,-115,-116,-113,-115,-115,-115,-114,-116,-116,-116,-117,-113,-115,-115,-115,-113,-117,-114,366,0.36363636363636365
HDOK,PLOK,17472,2,2,-121,-9,8,2,19,-115,-113,-113,-113,-115,-113,-115,-117,-114,-117,-115,-115,-115,-114,-114,-114,-113,-113,-115,366,0.5619834710743802
HDOK,PLOK,17472,3,3,-123,-11,8,2,19,-113,-117,-115,-113,-114,-113,-114,-113,-113,-117,-113,-113,-116,-113,-114,-115,-113,-115,-115,366,0.6942148760330578
HDOK,PLOK,17472,4,4,-122,-10,8,2,19,-113,-113,-114,-115,-113,-115,-113,-113,-115,-113,-113,-113,-117,-115,-113,-114,-113,-115,-113,366,0.6115702479338844
HDOK,PLOK,17472,5,5,-122,-10,8,2,19,-113,-113,-115,-115,-115,-115,-113,-115,-114,-113,-114,-113,-113,-114,-115,-115,-113,-113,-114,366,0.628099173553719
HDOK,PLOK,17472,6,6,-121,-9,8,2,19,-115,-115,-117,-113,-111,-113,-113,-113,-115,-113,-112,-115,-113,-113,-113,-113,-112,-115,-112,366,0.5950413223140495
HDOK,PLOK,17472,7,7,-120,-8,8,2,19,-113,-114,-113,-113,-115,-112,-112,-115,-115,-115,-107,-113,-113,-115,-115,-113,-115,-113,-115,366,0.8760330578512399
HDOK,PLOK,17472,8,8,-121,-9,8,2,19,-111,-114,-113,-114,-113,-115,-115,-115,-113,-115,-113,-112,-115,-112,-115,-117,-113,-115,-115,366,0.8099173553719008
HDOK,PLOK,17472,9,9,-121,-9,8,2,19,-113,-115,-115,-115,-115,-116,-113,-117,-113,-115,-115,-115,-115,-115,-112,-115,-115,-115,-115,366,0.0
HDOK,PLOK,17472,10,10,-120,-8,8,2,19,-113,-115,-115,-113,-115,-113,-113,-114,-113,-116,-114,-114,-116,-114,-115,-110,-115,-115,-115,366,0.5619834710743802
HDOK,PLOK,17472,11,11,-124,-11,8,2,19,-113,-113,-114,-115,-113,-113,-117,-117,-117,-113,-117,-115,-115,-115,-113,-113,-114,-113,-115,366,0.8099173553719008
HDOK,PLOK,17472,12,12,-123,-11,8,2,19,-113,-113,-113,-113,-115,-115,-115,-113,-115,-117,-115,-113,-113,-115,-113,-113,-112,-115,-115,366,0.9917355371900825
HDOK,PLFL,17472,13,12,-123,-11,8,2,19,-112,-113,-113,-115,-115,-111,-115,-113,-114,-114,-116,-115,-112,-115,-113,-112,-113,-114,-115,366,0.6942148760330578
HDOK,PLOK,17472,14,13,-121,-9,8,2,19,-113,-117,-115,-115,-111,-115,-114,-113,-114,-113,-113,-113,-117,-115,-113,-115,-112,-115,-113,366,0.8099173553719008
HDOK,PLOK,17472,15,14,-122,-10,8,2,19,-113,-115,-112,-113,-115,-113,-113,-113,-115,-115,-113,-115,-113,-115,-112,-115,-113,-113,-115,366,0.9256198347107436
HDOK,PLOK,17472,16,15,-125,-13,8,2,19,-115,-111,-115,-115,-112,-113,-113,-114,-115,-112,-115,-115,-111,-113,-115,-113,-115,-112,-113,366,1.1074380165289255
HDOK,PLFL,17472,17,15,-125,-12,8,2,19,-112,-117,-114,-115,-115,-113,-112,-115,-115,-115,-115,-115,-115,-113,-117,-113,-117,-117,-115,366,0.38016528925619836
HDOK,PLOK,17472,18,16,-122,-10,8,2,19,-113,-114,-116,-115,-113,-115,-116,-115,-115,-115,-115,-114,-114,-114,-115,-113,-115,-113,-113,366,0.42975206611570244
HDOK,PLOK,17472,19,17,-120,-8,8,2,19,-113,-115,-115,-113,-114,-113,-114,-115,-115,-115,-113,-115,-112,-113,-115,-114,-115,-117,-114,366,0.5619834710743802
HDOK,PLOK,17472,20,18,-121,-8,8,2,19,-111,-117,-115,-119,-114,-114,-116,-116,-114,-113,-114,-111,-115,-116,-112,-115,-115,-115,-115,366,0.38016528925619836
HDOK,PLOK,17472,21,19,-121,-9,8,2,19,-113,-115,-115,-117,-115,-115,-113,-114,-115,-115,-114,-114,-115,-115,-113,-115,-117,-114,-113,366,0.23140495867768596
HDOK,PLOK,17472,22,20,-121,-8,8,2,19,-115,-113,-114,-114,-114,-116,-113,-112,-113,-115,-112,-113,-115,-115,-113,-113,-115,-115,-115,366,0.7272727272727273
