rssi,average_rssi,rssi_variance,snr,average_snr,sf,tp,location_id
-51.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-59.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-63.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-58.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-61.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-59.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-51.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-51.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-55.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-51.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-53.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-58.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-57.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-53.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-51.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-53.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
-52.0,-59.0,9.163580246913575,8.0,8.0,12.0,2.0,1m
