hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-51,8,11,2,33,-49.0,-49.0,-50.49329448842984,-49.99635010046994,-49.99726350011751,-51.202621102220995,-51.33651356211366,-50.99887254631147,-52.26925174293526,-51.89821218966207,-51.60047421409706,-51.45005743607073,-51.41101787662293,-51.216531623108835,-51.04918375948154,-50.97462506263355,-50.909111297464726,-50.91491570187922,-50.85918648545665,-50.80909397329381,-50.70781659304155,-50.66965789464587,-50.582748491057686,-50.90604627750223,-50.76403176594042,-50.58524070963453,-50.4194002105611,-50.355351130845946,-50.29559313414862,-50.15340479653785,-50.02008324738958,-49.89480033331452,-49.73607947828092,1m,-50.68111608258397,-50.76403176594042,-49.0,0.5057468289503932,0.3417837196859707,0.6039853662206709
HDOK,PLOK,17472,2,2,-52,10,11,2,33,-57.0,-48.089108028633376,-49.040282844908916,-48.361309529542005,-49.522157439464955,-50.822916980671415,-50.51682054470849,-50.15312402734761,-50.00665006406168,-49.665414153113865,-49.391591892334894,-49.3547890558834,-49.1505263996838,-48.97705285284163,-48.90328548319559,-48.839094832225115,-48.78269133522882,-48.9242948111624,-49.781672183916875,-49.61949441452167,-49.47284889151151,-49.501267835564974,-49.42312350873402,-49.704083639778986,-49.62080740029264,-49.54381924365993,-49.472407649688094,-49.49621475092057,-49.474336435573484,-49.41072620265942,-49.35108266974886,-49.751351265605635,-49.67998022048083,1m,-49.6607371693232,-49.474336435573484,-57.0,1.9619387727805666,-4.493247442888968,23.543509824159376
HDOK,PLOK,17472,3,3,-53,9,11,2,33,-48.0,-48.99009910792962,-50.48832191221254,-49.660248401399635,-49.244765648456344,-50.40042448466481,-50.50110264515193,-50.13967746387855,-51.90026550656874,-51.45760985169868,-51.10240405924135,-50.90481459362226,-50.91307130939457,-50.758752224796744,-50.550466772749246,-50.369221612202494,-50.344402736796475,-50.322408223616485,-50.241857880080424,-50.16945476153117,-50.04800352789313,-49.991505204836535,-49.939895155686195,-50.345959036936044,-50.231315223672055,-50.125328018834516,-50.02701789466598,-50.116046829000965,-50.19911111013689,-50.14737547153689,-50.056587436717315,-50.05424000507678,-50.01127762942298,1m,-50.23494035576994,-50.19911111013689,-51.90026550656874,0.44722659296955464,0.6802034145032655,3.687618449898307
HDOK,PLOK,17472,4,4,-52,10,11,2,33,-57.0,-49.07920713656301,-50.03531026869162,-49.3579917467121,-49.518656473908045,-51.02092036526812,-50.849491776624745,-50.437722158172704,-50.509144712908416,-50.22437253671025,-49.995859186878626,-49.99624835139164,-49.909830277559806,-49.75577263280661,-49.69871189242756,-49.64905896204163,-49.605429572597224,-49.694490704721915,-50.200394717589454,-50.13040899503809,-50.0111436362074,-50.01054287796402,-49.9579418756235,-50.31271709371371,-50.19969776880238,-50.095212389269555,-50.044551754757684,-49.997417353826016,-49.95344080665732,-49.86915961974697,-49.79013416244328,-49.715873552359085,-49.645948294565905,1m,-50.19008495922874,-49.99624835139164,-57.0,1.5931444320207617,-4.949746581398664,26.783977547463834
HDOK,PLOK,17472,5,5,-54,8,11,2,33,-50.0,-50.0,-50.995529658953224,-50.66423340031329,-50.748260122499346,-52.20441929090421,-52.17009407639839,-51.85650173085316,-51.87472939735574,-51.66195937754734,-51.491223631452804,-51.44505714199442,-51.40645132558073,-51.373664677122214,-51.34545304017671,-51.320903929246434,-51.2993329421372,-51.40794225333743,-52.11403604276501,-52.04908522595557,-51.93437256499824,-51.88400013625402,-51.78593374269702,-52.04861568324622,-51.94850263346915,-51.85594899266167,-51.77009938530596,-51.73534938558703,-51.74701794156644,-51.671642867406476,-51.60096814243936,-51.74197108218191,-51.67098229817603,1m,-51.540129761229785,-51.671642867406476,-50.0,0.2841975270321251,1.541952293438216,2.4188059833081295
HDOK,PLOK,17472,6,6,-55,9,11,2,33,-58.0,-50.07920713656301,-51.53307509816823,-51.022892363109165,-51.01716347215649,-52.620127836055175,-52.51599861762638,-52.152420873937274,-52.00603622772771,-51.77836370682308,-51.59566955772783,-51.53968696528579,-51.49287262632402,-51.453114750000154,-51.41890464237074,-51.38913580163481,-51.36297830527595,-51.403660276014264,-51.50089629653421,-51.47169291141215,-51.38930404449648,-51.368316495229905,-51.34914480321157,-51.68421142169904,-51.601906310362345,-51.52581595322871,-51.5014935751329,-51.56911224726346,-51.5881102680117,-51.56273625552395,-51.53894455284413,-51.516587373066535,-51.4547834231882,1m,-51.72740497539411,-51.516587373066535,-58.0,1.4014692240736764,-4.642481892250824,24.802350411493986
HDOK,PLOK,17472,7,7,-53,9,11,2,33,-47.0,-47.99009910792962,-49.98608674168916,-49.6579329340371,-49.743536369124094,-51.20064407359104,-51.3348685076898,-50.99746521267628,-51.759928780522756,-51.446694186703574,-51.092609777976946,-50.89594080468313,-50.731480254047305,-50.51114370395027,-50.32155266462739,-50.15657494764088,-50.07883061043376,-50.07379626919624,-50.06930120123668,-50.00695852670053,-49.894604218488944,-49.84637571848991,-49.80231998159832,-50.21531482841659,-50.107055419146754,-50.00697054008352,-49.91413521243071,-49.96313382453561,-49.920668852473526,-49.83780161124639,-49.84465913251411,-50.141486034836696,-50.135720197694155,1m,-50.14199061352763,-50.07379626919624,-51.759928780522756,0.7617819400155229,1.4245333077172775,4.875307917462166
HDOK,PLOK,17472,8,8,-53,9,11,2,33,-57.0,-47.09900892070375,-48.045255421126214,-47.69741122861232,-48.5238951893371,-50.0251071395587,-50.020891255885644,-49.584353326551955,-49.510126664311414,-49.3387367662643,-49.09847459614066,-49.183202325811656,-49.08056720896839,-49.07406820504964,-49.06847606472169,-49.06360991415008,-49.05933409041251,-49.18327039336822,-49.781225645077356,-49.6773761679253,-49.5834726634679,-49.605927832171965,-49.52233571995107,-49.798297591502845,-49.66154861102776,-49.58262525178374,-49.509418629729964,-49.48643160029233,-49.464984628137145,-49.40177787887501,-49.34251266859228,-49.28682085961671,-49.47889227767873,1m,-49.47998293141832,-49.464984628137145,-57.0,2.1370689466748174,-4.089541652913785,21.890834931346614
HDOK,PLOK,17472,9,9,-53,9,11,2,33,-48.0,-48.0,-49.49329448842984,-48.99635010046994,-48.99726350011751,-50.202621102220995,-50.33651356211366,-50.14337888313613,-51.522425963213465,-51.23614644846581,-50.903691945777915,-50.72477796746047,-50.66190818622952,-50.44718371016574,-50.33792151889017,-50.24284409891312,-50.22652025102659,-50.21205404006357,-50.199137434230146,-50.1292250141376,-50.010025937371665,-49.95557500263113,-49.90583520034662,-50.212856046765175,-50.15358542867158,-50.05129037975056,-49.95640497375587,-49.958372157704645,-50.04838838086662,-50.003155673133,-49.918465049899204,-49.963330650984794,-49.88332102456762,1m,-50.031329215803346,-50.1292250141376,-48.0,0.5052655050652197,1.119545587620504,2.8765999579929047
HDOK,PLOK,17472,10,10,-53,9,11,2,33,-57.0,-49.07920713656301,-50.03531026869162,-49.69077566295251,-50.01841346180133,-51.62112682608993,-51.51682986151995,-51.15313199782078,-51.1336806204366,-51.00501498559515,-50.79903658797541,-50.81792365823975,-50.74697409331667,-50.686718964439436,-50.634871767488505,-50.660819066951014,-50.616399169668334,-50.704759752925135,-51.33186197739579,-51.254211416741946,-51.128015304106235,-51.067203511618956,-50.95960097527524,-51.2639131299748,-51.10441015422318,-50.95695104516287,-50.8201729940413,-50.82828751604425,-50.791767973970074,-50.67131716858984,-50.600656213713656,-50.45128923734755,-50.35139432865133,1m,-50.954607479676724,-50.81792365823975,-57.0,1.3944381187762311,-4.065901973975469,21.358644861605857
