hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-113,3,11,2,33,-113.0,-113.0,-113.99552965895323,-113.33144948407289,-112.74799640008004,-113.60180446968883,-114.0044992234017,-113.8593427202847,-114.25828030910664,-114.22896711512662,-114.20544495702794,-114.28011933070778,-114.42930780811226,-114.55600866868487,-114.58952995933103,-114.47657235653024,-114.5789763318767,-114.54200129886502,-114.44807513284576,-114.48025359885852,-114.34140310763927,-114.26908748645344,-114.20302866272519,-114.34393862095726,-114.27826217653796,-114.17004499708406,-114.1159228719689,-114.06556791749526,-114.10676741777925,-114.10216093845153,-114.05556311381247,-114.09474143956352,-114.05012854995222,point2,-114.08517503405984,-114.20302866272519,-113.0,0.20699221232524193,1.6106293949582187,2.2084173502338547
HDOK,PLOK,17472,2,2,-109,6,11,2,33,-112.0,-105.06930624449262,-105.03480803352109,-104.6904405635689,-105.01816222216684,-106.42012468417549,-106.18166341081076,-105.8663992231301,-105.88336967454913,-105.55612531403817,-105.29353047056642,-105.26594370456529,-105.06938780554034,-104.98312497444739,-104.90889916037051,-104.84430958170896,-104.85477500671598,-104.99177501963027,-105.72321832900553,-105.7393553254032,-105.69796445708027,-105.76815775584038,-105.83227788194402,-106.1933839865416,-106.28167084305773,-106.41079115116845,-106.57681520226478,-106.82153123995145,-107.00576167048722,-107.17809304908178,-107.29739933245578,-107.40951203249602,-107.55583155376019,point2,-106.0431487546829,-105.76815775584038,-112.0,1.7801902367306806,-2.7773929227984966,11.122912392199828
HDOK,PLOK,17472,3,3,-113,0,11,2,33,-108.0,-108.99009910792962,-110.48832191221254,-111.32416798260167,-112.99481742423781,-114.2006662016839,-114.83863411082572,-114.57293983070943,-114.11909215676066,-113.31111988014926,-112.56003683661181,-112.50740310106193,-112.11641515771095,-111.94569321537504,-111.94979337090304,-112.16655180747563,-112.49145355890921,-112.84324459991004,-113.21826401803533,-113.49705002304181,-113.63717111144898,-113.71064180574236,-113.72570354274065,-113.99141984937256,-114.04070778348812,-114.2287736877186,-114.54198656292395,-114.83339825523962,-114.79665337854254,-114.7191367838784,-114.73101128825957,-114.6177200229076,-114.55179471653321,point2,-113.15945100257397,-113.63717111144898,-114.83863411082572,2.656489904907011,1.4952604729468961,2.4018337609273446
HDOK,PLOK,17472,4,4,-110,5,11,2,33,-116.0,-110.05940535242226,-111.02536511625702,-110.3513561810523,-111.51469494995034,-112.61615161759907,-112.1768586083306,-111.71778240823086,-111.37255990723241,-111.21678297267216,-110.98904931089795,-110.99007848547471,-110.81745210245619,-110.59018057984532,-110.4701221425804,-110.43671360571217,-110.34013850069164,-110.51000462704027,-110.78349859305492,-110.73781885592392,-110.69651400281414,-110.71287506406613,-110.72782055500612,-110.94305072884858,-110.89696512805403,-110.85435939231996,-110.81483976184448,-110.82319494085986,-110.87508076678131,-110.88047040603105,-110.88552395026822,-110.97323932085654,-111.2188417975469,point2,-111.09147847674913,-110.87508076678131,-116.0,1.0007373670563526,-3.8174157285652646,17.577407443031284
HDOK,PLOK,17472,5,5,-115,0,11,2,33,-115.0,-115.99009910792962,-116.49279225325931,-116.32879891732674,-116.24651588111328,-116.59861786208633,-116.66601623687644,-116.28075999657035,-116.62616764655587,-116.44160782535847,-116.29350914679658,-116.35990701619549,-116.50217443010641,-116.54233183869756,-116.72788548115899,-116.81828642370986,-116.89772056582467,-117.03197795632363,-117.03003011955019,-117.0865815537923,-117.19369926598358,-117.18325685485223,-117.17371792833937,-117.2657250672786,-117.30160808013004,-117.33478161235124,-117.36555225185224,-117.39418110092092,-117.28862065753061,-117.18987813881857,-117.18185035638973,-117.00837354930927,-116.84502435998151,point2,-116.7784257419082,-116.84502435998151,-117.39418110092092,0.2500097928936086,1.3627388813190855,3.163573684775607
HDOK,PLOK,17472,6,6,-117,-1,11,2,33,-118.0,-118.99009910792962,-118.9950274237827,-118.9966822171701,-118.74725913623212,-118.79800984326562,-118.83192716793347,-118.56720208356583,-118.36813043558546,-118.21285621825544,-117.88279435818288,-117.79982702147224,-117.64370371726918,-117.43044771599342,-117.24694921378894,-117.0872730810336,-117.01418717750394,-117.07714391623104,-117.13335679607735,-117.06727953572315,-117.90324871752735,-117.85455418884966,-117.65391607805732,-117.82249004211566,-117.68455880962901,-117.652042348481,-117.52936829051495,-117.5506050971978,-117.48223827168052,-117.41828711411515,-117.40060251932293,-117.42546748393389,-117.44888082592593,point2,-117.83989139255596,-117.65391607805732,-118.9966822171701,0.3722087040046877,-0.6803179461335819,-0.6858297056177745
HDOK,PLOK,17472,7,7,-111,6,11,2,33,-113.0,-112.00990089207038,-112.5027374056939,-112.33543448298654,-113.00225097591206,-114.00580573459713,-113.83691513020007,-113.4269629168524,-113.3727285507961,-113.21693247624987,-113.09191505579653,-112.98929400565733,-112.81673567116775,-112.58952193993144,-112.46951322989862,-112.36508443901049,-112.2061047528909,-112.1929423322142,-112.24210171524932,-112.11138212253861,-111.93719955657676,-111.88667472349493,-111.73641688961379,-111.9008345057841,-111.75907468638624,-111.58051909076315,-111.46115344462099,-111.39522029007144,-111.37779486262957,-111.27520492360057,-111.22129104103065,-111.21211116610404,-111.16271522684774,point2,-112.29365073446176,-112.2061047528909,-114.00580573459713,0.6012186252983646,-0.40662500516169037,-0.6576531470628364
HDOK,PLOK,17472,8,8,-111,4,11,2,33,-117.0,-112.04950446035188,-112.52262771056311,-112.34870561430617,-112.01118749287953,-112.81214643534139,-112.84369000382785,-112.57726511513444,-113.39310401139346,-113.12150172648454,-112.90355645958715,-112.81863784595447,-112.83436983486739,-112.68639925356156,-112.5590763183217,-112.5193463841172,-112.55165565803777,-112.58028817016641,-112.66676545726507,-112.62789152553644,-112.59274066564322,-112.61469619234508,-112.53064766749287,-112.75581130864467,-112.71887584252322,-112.68472932643891,-112.69931262783513,-112.71288085850456,-112.68144964409925,-112.65204850502782,-112.6244808052179,-112.55709203727164,-112.49363744181836,point2,-112.78018552728972,-112.65204850502782,-117.0,0.6160064633272306,-4.884214486344168,26.400405300086543
HDOK,PLOK,17472,9,9,-112,3,11,2,33,-112.0,-111.00990089207038,-112.99603189412375,-112.33178458345648,-112.24875437424055,-113.20281091738254,-113.50458723455638,-113.28716484485749,-113.25068813294696,-112.99524915636447,-112.89300561807016,-112.9030612316221,-112.82472653517821,-112.758199457318,-112.70095549198824,-112.65114312350771,-112.67459309248582,-112.69537447936663,-112.83575350461295,-112.84532944616598,-112.7420235180224,-112.75593114164374,-112.71658324595525,-112.88200007075608,-112.83889793221974,-112.79905038130596,-112.7620891492011,-112.7728246492627,-112.78284090523513,-112.79221023252306,-112.7587166906958,-112.76872591018783,-112.77815078903672,point2,-112.75027753413212,-112.77815078903672,-113.50458723455638,0.16883214371125244,2.3132680660940945,9.265135289221048
HDOK,PLOK,17472,10,10,-112,4,11,2,33,-114.0,-112.01980178414075,-112.5077099819112,-112.67153618205685,-112.25322862399517,-113.00558538020121,-113.34047896747138,-113.1467712622916,-113.76324584012208,-113.67662222780208,-113.40164854357677,-113.26991792524309,-113.24650429835015,-113.14595425543014,-112.98393497434068,-112.91401308619952,-112.85257362503,-112.86198868188326,-112.74857148944038,-112.76323033933674,-112.72050289099069,-112.73557070091489,-112.64523038929457,-112.8646214126408,-112.82236854538516,-112.78330613835858,-112.79332962661816,-112.89290352099847,-112.98580628366082,-112.94327367997636,-113.03022919531668,-112.98749192445965,-112.90649767812452,point2,-112.96013483198675,-112.90649767812452,-114.0,0.14897630572864864,-0.4567277457734091,1.533733897958498
