hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-116,-6,7,2,11,-115,-111,-112,-111,-112,-111,-112,-113,-111,-112,-111,312,0.2448979591836735
HDOK,PLOK,17472,2,2,-106,3,7,2,11,-106,-106,-105,-106,-107,-105,-106,-109,-107,-107,-107,312,0.2448979591836735
HDOK,PLOK,17472,3,3,-100,6,7,2,11,-103,-100,-99,-101,-101,-100,-100,-100,-100,-99,-100,312,0.12244897959183669
HDOK,PLOK,17472,4,4,-104,4,7,2,11,-106,-105,-104,-107,-105,-106,-106,-105,-106,-104,-105,312,0.2448979591836735
HDOK,PLOK,17472,5,5,-105,3,7,2,11,-107,-105,-105,-104,-106,-104,-104,-107,-106,-106,-105,312,0.4897959183673469
HDOK,PLOK,17472,6,6,-105,3,7,2,11,-107,-106,-105,-109,-104,-107,-107,-106,-106,-105,-106,312,0.4081632653061225
HDOK,PLOK,17472,7,7,-105,3,7,2,11,-107,-109,-106,-106,-107,-106,-107,-109,-109,-105,-106,312,0.979591836734694
HDOK,PLOK,17472,8,8,-105,3,7,2,11,-106,-106,-106,-109,-106,-105,-111,-107,-106,-105,-106,312,0.12244897959183669
HDOK,PLOK,17472,9,9,-105,3,7,2,11,-107,-106,-106,-109,-106,-106,-106,-105,-105,-105,-106,312,0.12244897959183673
HDOK,PLOK,17472,10,10,-102,5,7,2,11,-104,-104,-104,-106,-106,-102,-103,-104,-105,-104,-102,312,0.2857142857142857
HDOK,PLOK,17472,11,11,-105,3,7,2,11,-105,-105,-105,-105,-106,-105,-107,-105,-105,-105,-106,312,0.12244897959183669
HDOK,PLOK,17472,12,12,-105,3,7,2,11,-107,-107,-106,-105,-107,-107,-107,-106,-106,-106,-107,312,0.2448979591836735
HDOK,PLOK,17472,13,13,-106,1,7,2,11,-106,-107,-105,-106,-107,-106,-107,-106,-109,-107,-106,312,0.2448979591836735
HDOK,PLOK,17472,14,14,-105,2,7,2,11,-106,-106,-106,-106,-106,-106,-107,-105,-106,-106,-106,312,0.0
HDOK,PLOK,17472,15,15,-104,4,7,2,11,-106,-104,-105,-103,-104,-105,-105,-109,-105,-104,-105,312,0.20408163265306126
HDOK,PLOK,17472,16,16,-103,5,7,2,11,-103,-102,-105,-102,-103,-103,-103,-105,-103,-103,-103,312,0.0
HDOK,PLOK,17472,17,17,-105,3,7,2,11,-106,-106,-105,-105,-105,-107,-103,-105,-107,-106,-106,312,0.2448979591836735
HDOK,PLFL,16960,18,17,-105,2,7,2,11,-109,-107,-106,-109,-104,-107,-107,-106,-106,-105,-106,312,0.2448979591836735
HDOK,PLOK,17472,19,18,-103,5,7,2,11,-106,-102,-103,-106,-102,-103,-106,-104,-105,-103,-103,312,1.2653061224489797
HDOK,PLOK,17472,20,19,-102,5,7,2,11,-104,-103,-102,-102,-104,-102,-102,-104,-103,-104,-102,312,0.6938775510204083
HDOK,PLOK,17472,21,20,-101,5,7,2,11,-103,-104,-85,-100,-101,-100,-101,-103,-101,-101,-101,312,0.6938775510204083
HDOK,PLOK,17472,22,21,-101,5,7,2,11,-103,-103,-101,-103,-104,-101,-101,-103,-104,-101,-102,312,0.7755102040816327
HDOK,PLOK,17472,23,22,-102,5,7,2,11,-102,-101,-102,-104,-101,-103,-104,-101,-102,-101,-102,312,0.4081632653061225
HDOK,PLOK,17472,24,23,-102,5,7,2,11,-103,-103,-101,-103,-105,-101,-102,-103,-104,-103,-102,312,0.20408163265306126
HDOK,PLOK,17472,25,24,-103,5,7,2,11,-104,-103,-103,-103,-103,-105,-103,-102,-104,-105,-103,312,0.2040816326530612
