hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,rssi_variance
HDOK,PLFL,17472,1,1,-120,-10,7,2,11,-115,-112,-113,-115,-112,-113,-117,-112,-113,-113,-114,356,0.64
HDOK,PLOK,17472,2,2,-119,-8,7,2,11,-112,-112,-114,-115,-112,-113,-113,-112,-113,-113,-115,356,0.16
HDOK,PLFL,54097,3,2,-120,-9,7,2,11,-112,-115,-113,-113,-115,-112,-112,-113,-115,-115,-113,356,0.96
HDOK,PLOK,17472,4,3,-120,-9,7,2,11,-113,-113,-113,-112,-113,-113,-115,-115,-112,-117,-113,356,0.64
HDOK,PLOK,17472,5,4,-120,-9,7,2,11,-112,-115,-117,-113,-112,-117,-117,-112,-113,-112,-112,356,3.2
HDOK,PLOK,17472,6,5,-119,-8,7,2,11,-113,-113,-113,-113,-115,-112,-115,-116,-112,-112,-113,356,0.64
HDOK,PLFL,17472,7,5,-120,-9,7,2,11,-115,-112,-112,-115,-115,-113,-115,-113,-112,-113,-112,356,0.96
HDOK,PLOK,17472,8,6,-121,-9,7,2,11,-111,-116,-116,-113,-113,-112,-113,-112,-117,-113,-112,356,1.44
HDOK,PLOK,17472,9,7,-119,-8,7,2,11,-115,-117,-112,-115,-112,-113,-113,-112,-113,-113,-117,356,0.96
HDOK,PLFL,17472,10,7,-121,-9,7,2,11,-117,-112,-112,-117,-112,-113,-113,-111,-111,-113,-115,356,0.9599999999999997
HDOK,PLFL,17472,11,7,-121,-10,7,2,11,-112,-116,-114,-115,-110,-113,-113,-117,-113,-113,-112,356,0.64
HDOK,PLFL,17472,12,7,-121,-10,7,2,11,-113,-113,-113,-115,-112,-112,-112,-113,-112,-113,-115,356,0.0
HDOK,PLFL,17472,13,7,-120,-9,7,2,11,-112,-114,-113,-112,-115,-113,-112,-113,-117,-112,-111,356,0.4
HDOK,PLFL,68,14,7,-121,-10,7,2,11,-113,-114,-112,-115,-113,-112,-116,-112,-115,-113,-117,356,0.8
