hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-87,7,7,2,11,-88,-88,-87,-89,-86,-89,-89,-87,-86,-86,-89,350,0.5599999999999999
HDOK,PLOK,17472,2,2,-85,6,7,2,11,-85,-86,-83,-83,-85,-83,-83,-86,-85,-83,-84,350,0.64
HDOK,PLOK,17472,3,3,-85,7,7,2,11,-85,-84,-83,-86,-84,-83,-85,-83,-83,-83,-84,350,0.4
HDOK,PLOK,17472,4,4,-85,6,7,2,11,-85,-83,-83,-84,-87,-83,-83,-85,-83,-86,-86,350,1.04
HDOK,PLOK,17472,5,5,-85,6,7,2,11,-85,-83,-89,-83,-85,-84,-83,-86,-85,-83,-83,350,0.64
HDOK,PLOK,17472,6,6,-85,6,7,2,11,-86,-83,-83,-80,-87,-83,-83,-85,-86,-84,-83,350,1.3599999999999999
HDOK,PLOK,17472,7,7,-85,7,7,2,11,-86,-84,-86,-87,-83,-83,-87,-84,-85,-83,-85,350,0.5599999999999999
HDOK,PLOK,17472,8,8,-85,6,7,2,11,-86,-83,-84,-85,-83,-84,-87,-84,-84,-83,-84,350,0.16
HDOK,PLOK,17472,9,9,-85,6,7,2,11,-86,-83,-83,-84,-83,-83,-86,-90,-84,-83,-83,350,1.2
HDOK,PLOK,17472,10,10,-85,7,7,2,11,-86,-85,-83,-83,-85,-83,-83,-86,-84,-83,-83,350,0.8
HDOK,PLOK,17472,11,11,-86,6,7,2,11,-87,-84,-84,-87,-86,-84,-86,-84,-84,-84,-87,350,1.44
HDOK,PLOK,17472,12,12,-89,7,7,2,11,-89,-87,-91,-88,-88,-88,-89,-91,-91,-88,-88,350,1.2
HDOK,PLOK,17472,13,13,-86,6,7,2,11,-87,-85,-85,-88,-88,-85,-87,-86,-85,-85,-89,350,1.04
HDOK,PLOK,17472,14,14,-86,6,7,2,11,-87,-85,-85,-87,-88,-85,-87,-85,-85,-85,-88,350,0.96
HDOK,PLOK,17472,15,15,-89,7,7,2,11,-89,-89,-89,-88,-89,-88,-89,-91,-91,-87,-88,350,0.0
HDOK,PLOK,17472,16,16,-94,6,7,2,11,-95,-93,-93,-93,-94,-94,-89,-97,-97,-94,-94,350,0.16
HDOK,PLOK,17472,17,17,-86,7,7,2,11,-87,-85,-84,-88,-86,-85,-87,-84,-84,-84,-86,350,0.5599999999999999
HDOK,PLOK,17472,18,18,-85,6,7,2,11,-86,-88,-84,-88,-84,-80,-87,-83,-84,-84,-85,350,1.3599999999999999
HDOK,PLOK,17472,19,19,-87,6,7,2,11,-87,-88,-85,-86,-88,-85,-85,-86,-86,-87,-87,350,0.24
HDOK,PLOK,17472,20,20,-88,6,7,2,11,-89,-91,-87,-89,-88,-88,-88,-87,-87,-87,-88,350,0.16
