hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLFL,17472,1,1,-128,-15,9,2,33,-115.0,-116.98019821585925,-117.48781967704201,-116.99269721825644,-116.49401802945214,-116.59561989299206,-116.49560594371921,-115.84596239698517,-115.86552880759977,-115.880790443925,-115.68757383223807,-115.71693646558258,-115.74149038869042,-115.76234322694121,-115.62928653109628,-115.65563073714759,-115.67877905118428,-115.6992931111425,-115.90034530445253,-115.9061553982253,-115.96739141874507,-115.96914936145149,-115.81459853939657,-115.87431844716818,-115.73385443133064,-115.60399667455317,-115.6223143816322,-115.5039849481027,-115.56994487575233,-115.63164459186764,-115.6894967467822,-115.74386070069303,-115.63204292333948,point1,-115.92038402161657,-115.74386070069303,-117.48781967704201,0.23960896732890608,-1.580408226381835,2.7910010563327217
HDOK,PLOK,17472,2,2,-130,-14,9,2,33,-116.0,-116.0,-115.00447034104677,-115.00298268344629,-115.5027429913964,-115.6025928707858,-115.50140804885481,-115.8624704189344,-116.00696351953947,-115.89267948030643,-115.80097308895147,-115.72569553042244,-115.48925914660096,-115.61112399524315,-115.71598396196597,-115.80723066842953,-115.75296906314547,-115.76874514334463,-115.84374316582577,-115.85285329208926,-115.80510853784355,-115.86952565291014,-115.92836935472019,-115.88159859048167,-115.83851607173787,-115.79868665915107,-115.8542551467716,-115.86083174416326,-115.95514856484392,-116.00022867108508,-116.00021900319108,-116.04169318335659,-116.08074609090133,point1,-115.77757014186322,-115.84374316582577,-116.0,0.06162695378626315,1.8383866607169284,3.840814234272058
HDOK,PLFL,17472,3,2,-131,-16,9,2,33,-116.0,-116.99009910792962,-116.4972625943061,-116.66456551701346,-116.74850912587696,-116.99981018483847,-116.99984205778992,-116.71085220779081,-116.62055720246933,-116.20964668451757,-116.18810934516925,-116.17043033393135,-116.06890310442938,-116.14401061343374,-115.98213807707481,-116.0544709337919,-115.98358997271019,-116.1123635049243,-116.04460737572118,-116.04200666499227,-116.03965503204984,-116.0914276442605,-115.93051196586897,-115.8332537791826,-115.9391397069498,-115.94203056355202,-115.99096847136767,-115.9913760104768,-116.03584666288785,-115.86172009310538,-115.9098449772681,-115.9550681671121,-115.91614724097302,point1,-116.20208378556865,-116.04460737572118,-116.99984205778992,0.12159731999615554,-1.2853854445354564,0.32719737718283426
HDOK,PLFL,17472,4,2,-130,-15,9,2,33,-116.0,-116.99009910792962,-115.50173293535286,-116.00033211670015,-116.25050237064062,-115.99939980451438,-115.83158485654499,-115.85592191199147,-116.12827042585212,-116.3406999845549,-116.100236129875,-116.0908156746344,-116.25642501467252,-116.39707157308469,-116.29159284196591,-116.05768065009933,-116.05380338825755,-116.17809289717954,-116.22815678691086,-116.27315698907177,-116.20188263494394,-116.08317819060694,-116.07884858095434,-116.12525570935546,-116.11913463395409,-116.16097563292857,-116.24604236722726,-116.18981589472628,-116.09326599852105,-116.08924203781184,-116.04319040624272,-116.0828819923023,-116.03875239873918,point1,-116.1326679375196,-116.100236129875,-116.99009910792962,0.04898933485118326,-1.0586306054159076,7.372668074837897
HDOK,PLFL,17472,5,2,-131,-16,9,2,33,-114.0,-114.0,-115.49329448842984,-114.66356618422954,-115.49851998127627,-115.59921784680535,-115.66651547472324,-116.00371877550802,-116.1302700016015,-116.11548517406304,-116.3090843974733,-116.09207056982174,-116.17082755087134,-116.31837888183057,-116.3698411920181,-116.4146224985393,-116.45397125493407,-116.36111662135178,-116.33912033655334,-116.3193488551916,-116.41343570063847,-116.39114720336141,-116.42283934436739,-116.40153691857573,-116.43078299179012,-116.41032085147619,-116.5301102093503,-116.46106544661005,-116.3525560445198,-116.38049000844634,-116.40668202536642,-116.47277805734925,-116.49426339943834,point1,-116.05718116019733,-116.3525560445198,-114.0,0.42421334339639627,2.2634335947508575,4.617781239361378
HDOK,PLFL,17472,6,2,-129,-14,9,2,33,-115.0,-115.0,-115.99552965895323,-115.6642334003133,-115.24775338797332,-115.39880552435824,-115.49975553374746,-115.86105670273174,-115.75168218197604,-115.77986469574803,-115.90521114784674,-115.91411965359343,-115.7480822058866,-115.76840331111178,-115.63488907966088,-115.73189867436118,-115.81713975387301,-115.76495494473464,-115.7183601168384,-115.79308261599587,-115.86064871960204,-115.86816120734538,-115.82297148734901,-115.9326490491815,-116.03367766589014,-116.03207798080966,-115.89182482452485,-115.76133398950162,-115.8600377076874,-115.95236636250245,-115.82754443747264,-115.79321519216366,-115.84239407173368,point1,-115.74162803895359,-115.79321519216366,-115.0,0.061483477462697174,1.8488501898464276,3.3270085408622543
HDOK,PLFL,17472,7,2,-130,-15,9,2,33,-116.0,-116.99009910792962,-115.99949776482947,-115.66688098437598,-116.00049850699824,-115.79959705458114,-116.00116359173457,-116.00099544535544,-116.25491619698431,-116.45297225555932,-116.50916929102436,-116.46131622125839,-116.42130003532158,-116.38731560647537,-116.35807332605067,-116.11943679660796,-116.17862777489806,-116.16722011018014,-116.15703442237164,-116.08957670293991,-116.08456198621468,-116.02609278087218,-116.07678681576162,-116.12329781481859,-116.11727241904852,-116.11170199324421,-116.0602786082299,-116.05755859356813,-116.05502081116911,-116.00950194728676,-116.05137882112201,-116.1322139901291,-116.16757799487532,point1,-116.15421017490351,-116.11170199324421,-116.99009910792962,0.05348076528815023,-1.3789922870936488,4.220156531142752
HDOK,PLFL,17472,8,2,-130,-14,9,2,33,-114.0,-114.99009910792962,-116.48832191221254,-115.32746448515923,-114.74500866056306,-115.1978139692287,-115.50042935260073,-115.2836078031922,-115.37460651785338,-115.5590784762494,-115.60437504988634,-115.64155692372022,-115.84613654245628,-115.77788241306999,-115.56815263417195,-115.59884123046636,-115.55858744955069,-115.52291450706596,-115.67379838986454,-115.75111893832589,-115.76505189166764,-115.72380761359027,-115.84228848526416,-115.90061338799454,-115.9054702759488,-115.86246054671236,-115.86882263322839,-115.87474188669803,-115.9684454033922,-116.01295181764782,-116.09696143867532,-116.13442242674003,-116.16969643330478,point1,-115.64047056377065,-115.72380761359027,-116.48832191221254,0.19977301169124795,1.5794883088718126,4.589227695264121
HDOK,point1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDOK,PLFL,17472,1,1,-128,-15,9,2,33,-116.13929121244468,-117.25696529925807,-118.45787948385775,-115.99665336062431,-115.05363418001653,-116.87020776666961,-116.33605631363638,-116.65699986876335,-117.34674792804292,-115.784680016528,-116.95501514948809,-116.87725493650245,-116.0810226891769,-115.29853306970928,-116.15027527840772,-116.32641052825899,-116.69890394472799,-116.34153054751941,-115.45186100046894,-115.95432512417128,-115.77533502858631,-116.13606956117601,-115.52690374227325,-115.63164541476691,-113.77775467913337,-114.8215176941277,-114.86722228838468,-114.97683546343406,-115.90959893437875,-114.62320326496706,-116.91805401133473,-115.21698045770698,-115.41668591606181,point1,-115.9888501258971,-115.99665336062431,-118.45787948385775,0.8392939007970267,-0.16399723484123224,0.7210143747340623
