hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-111,3,9,2,33,-111.0,-110.00990089207038,-110.5027374056939,-111.00100231546736,-111.50125821717262,-111.60140624123288,-111.5004206730698,-111.42810671473315,-111.62777425603412,-111.67001954168896,-111.70391896216066,-111.73174543718551,-111.75501477819134,-111.77477666316858,-111.71628112084571,-111.66537965914803,-111.62065320134512,-111.9641931951422,-112.14910983183073,-112.31532316600348,-112.24168824907575,-112.28256916325307,-112.31991303251958,-112.30379598067515,-112.53329305550227,-112.745461098302,-112.61846582082856,-112.59055814097576,-112.69679143755634,-112.62358338548269,-112.55494054826698,-112.44895327210429,-112.47140952154716,44,-111.89910439328104,-111.77477666316858,-112.745461098302,0.40412485183913044,0.9706513688422965,1.1110675656523603
HDOK,PLOK,17472,2,2,-103,8,9,2,33,-101.0,-101.0,-101.0,-102.33113566496164,-102.49852121704713,-102.19761613135555,-101.99651754412058,-101.85251444423821,-101.87124859023423,-101.77236734365879,-101.79575241067123,-101.72096550522434,-101.65842643033037,-101.6859796743393,-101.63418829369957,-101.5891206377173,-101.54952026974479,-101.83374023847932,-101.96569114808698,-102.25920272172617,-102.30067431399785,-102.50010656029903,-102.52612712465618,-102.49962111432563,-102.5240739468889,-102.7366798962393,-102.65634725359436,-102.5816061647231,-102.68823415767066,-102.65854030081918,-102.58841953406167,-102.52252670538783,-102.46048071591217,44,-102.07442260770338,-102.19761613135555,-101.0,0.2555469346465374,0.625116294768743,-0.4750559370205383
HDOK,PLOK,17472,3,3,-104,8,9,2,33,-102.0,-102.0,-102.0,-103.33113566496164,-103.49852121704713,-103.19761613135555,-102.82860181388794,-102.56435726425207,-102.49267057379748,-102.4367555559321,-102.49461855889759,-102.44813300522475,-102.40926037765362,-102.3762471352661,-102.34784052304987,-102.32312174916956,-102.23418222679504,-102.41081501442054,-102.44670336731124,-102.82877535847523,-102.95032567420174,-103.16864536706852,-103.21191922307821,-103.1508633642538,-103.09462224386483,-103.23262733794705,-103.17561037606012,-103.07743803441286,-103.16220459340651,-103.15520627761009,-103.06408716725022,-103.0199453571666,-102.97838055658048,44,-102.7609463972848,-102.82877535847523,-102.0,0.18210870172848,0.23901448917534776,-1.2280786960902845
HDOK,PLOK,17472,4,4,-104,8,9,2,33,-103.0,-103.0,-103.49776482947661,-102.66654886767583,-102.49974276909461,-102.19859239410091,-102.16524560722681,-102.14136656985009,-101.99638608112282,-102.56426485559274,-103.01995502443175,-102.92409696739124,-103.27765508240479,-103.09392662146335,-103.16233504957096,-103.07973542313414,-103.0071561968576,-102.94283641109705,-102.88540649236553,-102.95038981063563,-103.28906136698973,-103.48911967228237,-103.77597323914996,-103.88801854823194,-103.74688502717146,-103.7114080781841,-103.81727021052838,-103.690143581301,-103.6156244458159,-103.54591834290729,-103.607394883859,-103.83109775164921,-103.75647687871103,44,-103.14659991152347,-103.09392662146335,-103.0,0.28932490076706335,0.5211533692199953,-0.6146322930747146
HDOK,PLOK,17472,5,5,-104,8,9,2,33,-103.0,-106.9603964317185,-107.97563935408402,-105.98704268779164,-105.23952519701344,-104.5890241591114,-104.15428627684425,-103.9874845953305,-103.73502715038644,-103.53811245876399,-104.09922090523732,-103.80794796947143,-103.73786373075673,-103.59767787423944,-103.85455277427779,-103.86488876691207,-104.00840977955242,-103.88014716532908,-103.76562390589906,-103.72098630339066,-103.84857090660029,-103.85673451446166,-104.02034846768134,-104.2712207165593,-104.1602292629103,-104.05761863266177,-104.28623563747486,-104.22819548201755,-104.17404383091569,-104.08024472840886,-104.1614092991849,-104.2376800446978,-104.18724212281714,44,-104.27495851916673,-104.05761863266177,-107.97563935408402,0.9125061119768629,-2.625657831180294,7.4565584724715315
HDOK,PLOK,17472,6,6,-104,8,9,2,33,-103.0,-103.0,-103.49776482947661,-103.33211670015665,-103.24900337761817,-102.99820181131679,-102.99850375548263,-102.85421363547216,-102.61868474740352,-103.0024428056535,-103.31038665250797,-103.18723306683763,-103.34447882433486,-103.31669122615509,-103.36828095413756,-103.34210961116138,-103.25189373505938,-103.29966987428907,-103.28141642509667,-103.3816137281105,-103.80810909803425,-104.19582704435062,-104.34179047788699,-104.37495073056203,-104.2588901328368,-104.29409276241815,-104.3267455235746,-104.22175335265095,-104.21197615483575,-104.11654046253753,-104.15389189749241,-104.14750795910692,-104.22300069185589,44,-103.58514491055796,-103.34447882433486,-103.0,0.28529367122483856,-0.1920659248420689,-1.4634113951647345
HDOK,PLOK,17472,7,7,-105,8,9,2,33,-104.0,-104.0,-107.48435380633629,-105.65924906861571,-104.7435096675406,-104.3934105698787,-104.15943501652363,-104.13639564632422,-103.99204658219028,-103.76596179824774,-104.30366291750269,-104.18114124614056,-104.07868491457201,-103.99167212640839,-104.36980026193892,-104.48564800259764,-104.65466137258473,-104.54899011193721,-104.45463824432005,-104.36982955007319,-104.51707274291878,-104.54310756003268,-104.77509871526057,-104.98794704003008,-104.89079878396609,-104.80098606907187,-105.08773043223432,-104.99352358917272,-104.90562830259597,-104.82340998576477,-104.87315456774246,-104.83693326530675,-104.76207458358815,44,-104.62335019822476,-104.54310756003268,-104.0,0.41640044611207966,-2.677561187259448,10.941035520630756
HDOK,PLOK,17472,8,8,-104,8,9,2,33,-104.0,-103.00990089207038,-103.0049725762173,-103.33610169907031,-103.50224448439816,-103.40139311312845,-103.16607716519448,-103.14207796242201,-103.12403070839036,-103.33694144841435,-103.61052171447922,-103.55314327726467,-103.6786487006009,-103.62390508193602,-103.6523002017723,-103.60594544974883,-103.56521412708749,-103.59298075780941,-103.55686119737504,-103.69930170622561,-103.99604739474488,-104.37363350627285,-104.51034171835975,-104.58538992620106,-104.45904545247099,-104.43724084867291,-104.4632720878763,-104.39724333157206,-104.37972870738659,-104.36334531555131,-104.390262186134,-104.58148916206001,-104.51704033527896,44,-103.8368679465511,-103.6523002017723,-104.58538992620106,0.26794742074889744,-0.07621109258605893,-1.4462635712497593
HDOK,PLOK,17472,9,9,-105,8,9,2,33,-103.0,-103.0,-104.49329448842984,-103.66356618422954,-103.24725314496122,-102.99680302774286,-102.8294241194413,-102.70956707826682,-102.74645891306174,-103.45619657590377,-103.82025717196862,-103.6491846132387,-103.9398460844326,-103.86403281667815,-103.87429832221622,-103.74110407559743,-103.6240680091998,-103.64807606791427,-103.60860054970763,-103.63142002144767,-103.93196588801345,-104.20518579701174,-104.45476653090589,-104.53261458772616,-104.4088491726897,-104.38942888614578,-104.46392818450448,-104.35274577694422,-104.29310265138714,-104.23731174854309,-104.227278539365,-104.17636701832454,-104.2914356746865,44,-103.80328580971776,-103.86403281667815,-103.0,0.299250738836462,0.5493914325250502,-0.7692940882734445
HDOK,PLOK,17472,10,10,-105,8,9,2,33,-103.0,-103.99009910792962,-103.9950274237827,-104.66225004965091,-104.49651974475567,-104.19601655740529,-103.99518656379824,-103.85137579900663,-103.74323098147728,-103.77237265346169,-103.89848877505221,-103.8140464357469,-103.83017669967404,-103.84387560160258,-103.85566297438784,-103.79485654678649,-103.74142672321068,-103.88566547162014,-103.89262980031575,-104.19040101550402,-104.29170666748364,-104.54553279560793,-104.62124104558994,-104.58994324549471,-104.56111352502305,-104.6769603393398,-104.6456465588655,-104.57138832863029,-104.67846683023322,-104.60604939318593,-104.58042647155892,-104.5148652212161,-104.45313145244869,44,-104.17532669090444,-104.19040101550402,-104.67846683023322,0.1638150953142761,0.5456835439274216,0.0943043727347157
