hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-73,7,12,2,58,-70,-76,-69,-79,-76,-69,-77,-76,-70,-69,-70,-70,-69,-73,-69,-70,-69,-69,-76,-69,-69,-73,-71,-70,-69,-70,-69,-69,-75,-70,-69,-69,-71,-70,-75,-79,-69,-69,-69,-71,-71,-70,-69,-69,-77,-69,-69,-70,-70,-69,-69,-77,-69,-69,-69,-69,-69,-104,334,8.075443786982248
HDOK,PLOK,17472,2,2,-72,7,12,2,58,-69,-73,-69,-79,-76,-69,-79,-77,-69,-69,-69,-69,-69,-73,-70,-71,-69,-69,-75,-69,-69,-75,-71,-70,-69,-70,-69,-69,-74,-69,-69,-69,-69,-70,-75,-77,-69,-69,-69,-71,-69,-70,-69,-69,-77,-69,-69,-70,-70,-70,-69,-79,-69,-69,-75,-72,-69,-100,334,8.826553254437869
HDOK,PLOK,17472,3,3,-71,6,12,2,58,-69,-71,-69,-79,-76,-69,-76,-77,-69,-69,-69,-69,-69,-73,-69,-70,-69,-69,-75,-69,-69,-75,-71,-70,-69,-70,-70,-69,-74,-69,-69,-69,-69,-69,-75,-77,-69,-69,-69,-71,-69,-70,-69,-69,-77,-69,-69,-70,-70,-70,-69,-77,-69,-77,-69,-69,-75,-103,334,8.208210059171599
HDOK,PLOK,17472,4,4,-72,7,12,2,58,-70,-77,-69,-77,-76,-69,-77,-76,-70,-69,-69,-69,-69,-73,-69,-71,-70,-69,-76,-69,-69,-75,-70,-70,-69,-70,-69,-69,-75,-69,-69,-69,-69,-70,-75,-79,-69,-69,-69,-71,-71,-70,-69,-69,-77,-69,-70,-70,-70,-69,-69,-77,-69,-70,-69,-69,-68,-103,334,8.054363905325443
HDOK,PLOK,17472,5,5,-71,6,12,2,58,-69,-71,-69,-77,-76,-69,-77,-79,-69,-69,-69,-69,-69,-73,-69,-71,-69,-69,-74,-69,-69,-75,-71,-70,-69,-70,-70,-69,-73,-69,-69,-69,-69,-69,-75,-76,-69,-69,-69,-71,-69,-69,-69,-69,-77,-69,-69,-70,-71,-70,-69,-77,-69,-70,-72,-69,-77,-100,334,7.640532544378696
HDOK,PLOK,17472,6,6,-70,6,12,2,58,-69,-71,-69,-77,-76,-69,-77,-77,-69,-69,-69,-69,-69,-73,-70,-70,-69,-69,-75,-69,-69,-75,-70,-70,-69,-70,-69,-69,-74,-69,-69,-69,-69,-69,-75,-77,-69,-69,-69,-71,-70,-70,-69,-69,-77,-69,-70,-70,-70,-69,-69,-77,-69,-76,-69,-71,-84,-99,334,8.48039940828402
HDOK,PLOK,17472,7,7,-72,7,12,2,58,-69,-75,-69,-77,-76,-69,-77,-77,-69,-69,-69,-69,-69,-73,-70,-70,-69,-69,-74,-69,-69,-75,-70,-70,-69,-70,-69,-69,-74,-69,-69,-69,-69,-69,-75,-79,-69,-69,-69,-71,-70,-70,-69,-69,-77,-69,-69,-70,-70,-69,-69,-77,-69,-69,-73,-71,-69,-101,334,7.668639053254437
HDOK,PLOK,17472,8,8,-72,6,12,2,58,-69,-74,-69,-77,-77,-69,-77,-77,-69,-69,-70,-69,-69,-73,-69,-70,-69,-69,-74,-69,-69,-75,-70,-69,-69,-70,-69,-69,-74,-69,-69,-69,-69,-70,-75,-77,-69,-69,-69,-71,-71,-70,-69,-69,-77,-69,-69,-70,-70,-69,-69,-77,-69,-70,-69,-71,-69,-103,334,7.65532544378698
HDOK,PLOK,17472,9,9,-71,7,12,2,58,-69,-75,-69,-77,-77,-69,-79,-77,-69,-69,-70,-69,-69,-73,-69,-70,-69,-69,-74,-69,-69,-75,-70,-69,-69,-70,-69,-69,-74,-69,-69,-69,-69,-70,-75,-79,-69,-69,-69,-71,-70,-70,-69,-69,-77,-69,-69,-70,-70,-69,-69,-77,-69,-70,-73,-71,-73,-100,334,8.384615384615385
HDOK,PLOK,17472,10,10,-71,6,12,2,58,-69,-73,-69,-77,-77,-69,-77,-77,-69,-69,-69,-69,-69,-73,-69,-69,-69,-69,-75,-69,-69,-75,-71,-70,-69,-70,-70,-69,-74,-69,-69,-69,-69,-70,-75,-79,-69,-69,-69,-71,-70,-70,-69,-69,-79,-69,-69,-70,-70,-69,-69,-77,-69,-76,-69,-69,-79,-100,334,9.948224852071005
HDOK,PLOK,17472,11,11,-72,6,12,2,58,-69,-71,-69,-77,-76,-69,-77,-76,-69,-69,-70,-69,-69,-71,-69,-70,-69,-69,-76,-68,-69,-73,-70,-69,-69,-70,-69,-69,-76,-69,-69,-69,-76,-71,-73,-77,-69,-69,-70,-70,-83,-71,-69,-69,-77,-69,-69,-69,-70,-69,-69,-75,-69,-69,-71,-69,-69,-101,334,7.909763313609466
