hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,rssi_33,rssi_34,rssi_35,rssi_36,rssi_37,rssi_38,rssi_39,rssi_40,rssi_41,rssi_42,rssi_43,rssi_44,rssi_45,rssi_46,rssi_47,rssi_48,rssi_49,rssi_50,rssi_51,rssi_52,rssi_53,rssi_54,rssi_55,rssi_56,rssi_57,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-82,7,12,2,58,-75,-82,-76,-85,-83,-75,-83,-85,-75,-75,-75,-75,-76,-79,-75,-77,-75,-76,-80,-75,-75,-81,-77,-77,-76,-77,-76,-76,-80,-76,-75,-75,-75,-75,-82,-82,-75,-75,-75,-79,-75,-76,-76,-76,-83,-75,-75,-77,-77,-79,-75,-85,-76,-77,-76,-76,-75,-115,328,8.283950617283947
HDOK,PLOK,17472,2,2,-79,7,12,2,58,-76,-77,-75,-85,-82,-76,-85,-83,-75,-75,-75,-76,-76,-79,-75,-77,-75,-76,-81,-76,-75,-81,-77,-76,-75,-77,-76,-76,-80,-75,-75,-75,-75,-75,-81,-83,-75,-75,-75,-77,-75,-76,-75,-75,-83,-75,-75,-76,-77,-76,-75,-85,-75,-75,-81,-78,-75,-118,328,8.200617283950615
HDOK,PLOK,17472,3,3,-78,7,12,2,58,-75,-76,-75,-85,-81,-75,-83,-83,-75,-75,-76,-75,-76,-79,-75,-77,-76,-76,-82,-76,-76,-81,-77,-76,-75,-76,-76,-75,-81,-75,-76,-76,-76,-77,-81,-85,-75,-75,-76,-77,-77,-77,-75,-76,-85,-76,-75,-77,-77,-76,-76,-85,-76,-83,-75,-76,-81,-115,328,8.72599451303155
HDOK,PLOK,17472,4,4,-83,8,12,2,58,-78,-83,-79,-88,-88,-80,-88,-89,-79,-79,-79,-78,-77,-81,-77,-79,-76,-77,-81,-76,-76,-82,-78,-78,-76,-78,-77,-77,-81,-76,-76,-76,-77,-77,-83,-85,-77,-77,-77,-80,-77,-78,-77,-77,-85,-77,-77,-79,-80,-79,-77,-87,-77,-79,-78,-78,-89,-115,328,12.010973936899857
HDOK,PLOK,17472,5,5,-81,8,12,2,58,-77,-80,-77,-87,-85,-77,-87,-87,-77,-77,-77,-77,-77,-81,-77,-79,-77,-77,-82,-77,-77,-83,-79,-79,-77,-79,-78,-78,-82,-77,-77,-77,-77,-78,-85,-84,-77,-77,-77,-81,-78,-78,-77,-77,-85,-77,-77,-78,-79,-79,-77,-87,-77,-80,-80,-77,-85,-117,328,9.50617283950617
HDOK,PLOK,17472,6,6,-81,9,12,2,58,-77,-82,-76,-87,-85,-77,-87,-87,-77,-77,-77,-77,-77,-80,-76,-78,-77,-77,-82,-77,-77,-82,-78,-78,-77,-78,-77,-77,-81,-77,-77,-77,-77,-77,-83,-85,-77,-77,-77,-80,-77,-78,-77,-77,-85,-77,-77,-78,-79,-78,-77,-87,-77,-87,-77,-81,-83,-115,328,10.358024691358025
HDOK,PLOK,17472,7,7,-81,8,12,2,58,-77,-77,-77,-85,-83,-77,-85,-85,-77,-77,-77,-77,-77,-80,-77,-78,-77,-77,-83,-76,-77,-81,-78,-77,-77,-78,-77,-77,-83,-77,-77,-77,-78,-78,-82,-87,-77,-77,-77,-79,-79,-78,-77,-77,-87,-77,-77,-78,-78,-77,-77,-87,-77,-77,-81,-78,-77,-116,328,7.956447187928667
HDOK,PLOK,17472,8,8,-82,8,12,2,58,-77,-94,-77,-87,-85,-77,-87,-87,-77,-77,-77,-77,-77,-80,-77,-78,-77,-77,-83,-77,-77,-82,-78,-77,-77,-78,-77,-77,-83,-77,-77,-77,-77,-78,-82,-87,-77,-77,-77,-79,-79,-79,-77,-77,-87,-77,-77,-78,-78,-77,-77,-87,-77,-77,-77,-79,-77,-117,328,11.20336076817558
HDOK,PLOK,17472,9,9,-81,8,12,2,58,-77,-93,-77,-86,-85,-77,-87,-85,-77,-77,-77,-77,-77,-80,-77,-78,-77,-77,-83,-77,-77,-82,-79,-77,-77,-78,-77,-77,-83,-77,-77,-77,-78,-79,-82,-87,-77,-77,-77,-80,-79,-79,-77,-77,-87,-77,-77,-78,-78,-77,-77,-87,-77,-77,-82,-80,-85,-118,328,10.969821673525383
HDOK,PLOK,17472,10,10,-81,7,12,2,58,-77,-82,-77,-85,-85,-77,-87,-87,-77,-77,-77,-77,-77,-81,-77,-79,-77,-77,-82,-77,-77,-83,-79,-79,-77,-79,-78,-77,-82,-77,-77,-77,-77,-78,-83,-85,-77,-77,-77,-80,-77,-78,-77,-77,-87,-77,-77,-78,-79,-78,-77,-87,-77,-85,-77,-77,-86,-117,328,10.506172839506176
