rssi,average_rssi,rssi_variance,snr,average_snr,sf,tp,location_id,true_x,true_y
-0.62,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5866666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.6266666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.6466666666666666,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.56,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.62,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.56,-0.5733333333333334,0.05821645938078857,0.8333333333333334,9.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.56,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.6066666666666667,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.58,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.54,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.62,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5466666666666666,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5933333333333334,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5533333333333333,-0.5533333333333333,0.01786186821910559,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.6266666666666667,-0.56,0.25469700979095,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.58,-0.56,0.25469700979095,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5933333333333334,-0.56,0.25469700979095,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5733333333333334,-0.56,0.25469700979095,0.75,8.0,11.0,2.0,318,43.419,61.869
-0.5666666666666667,-0.56,0.25469700979095,0.75,8.0,11.0,2.0,318,43.419,61.869
