hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-60,8,10,2,29,-88.0,-81.06930624449262,-81.5325728629977,-82.68647684492758,-80.7629101320953,-79.20410728570175,-77.65859288968353,-75.82934600184065,-74.19971630833884,-72.92861880267489,-72.42229390697733,-71.44277930104195,-70.53693602272043,-70.4936237451765,-69.6258565727896,-68.87074574325072,-68.34167850693986,-68.12826965703395,-67.45042606242546,-66.78284036768912,-66.23517371327993,-65.68339107552893,-65.231401274554,-64.76632808961091,-64.33792961176331,-63.94187895773307,-63.528259402142375,-63.14342983665754,-62.78438261840628,1m,-71.29721627029221,-69.6258565727896,-88.0,46.09450737917188,-0.7521690036418129,-0.3773961746501975
HDOK,PLOK,17472,2,2,-53,8,10,2,29,-55.0,-48.06930624449263,-49.03033769247432,-49.685809628843835,-51.015703663502336,-51.213351698185065,-51.17752659198794,-50.71835386401681,-50.627105971328,-50.328945932686345,-51.21973719125107,-50.91713781780676,-50.66409505897587,-50.610525418845974,-50.4889309487507,-50.667376368310926,-50.75695460204626,-51.155652781874366,-50.96343610390683,-50.79066108754955,-50.69041562405022,-50.545374155163486,-50.51698621850313,-50.3901817646307,-50.224508213202064,-50.30884385959497,-50.248301392167015,-50.14684893779992,-50.09628388976355,1m,-50.62995492143829,-50.627105971328,-55.0,1.0995485465141481,-1.9602597412553024,10.83651864765324
HDOK,PLOK,17472,3,3,-53,9,10,2,29,-55.0,-48.06930624449263,-48.532572862997704,-48.35534117996596,-50.51869615851936,-50.41454126885105,-50.17701753874772,-49.862424709020246,-49.752876419183224,-49.553935947583774,-49.497029221356286,-49.35633447594627,-49.23868126957533,-49.13876227612713,-49.052785865006975,-49.04903471534292,-49.44905535623775,-49.803554063954984,-49.63278437352164,-49.537589357684716,-49.45151145109231,-49.373259841530434,-49.4579352815825,-49.43486474076543,-49.41361349496341,-49.58396642273592,-49.603210658108836,-49.575991352913036,-49.72695732237111,1m,-49.641849443799266,-49.497029221356286,-55.0,1.287368090526769,-3.6639947749068416,17.463269192379496
HDOK,PLOK,17472,4,4,-54,8,10,2,29,-57.0,-50.06930624449263,-51.03033769247432,-53.01694529380546,-53.262958044234395,-53.611758416630515,-53.50903455537603,-53.001956825987484,-52.74766106622936,-52.43581878098383,-53.11016762071444,-52.81786588382352,-52.57343432049264,-52.60784350579544,-52.41095164338334,-52.38174797079376,-52.42330653501447,-52.7794496338101,-52.610148189032095,-52.45797065584337,-52.37634999340777,-52.248239938384394,-52.183266275858784,-52.12365393758179,-52.019873870826906,-52.0664297441151,-52.017100492521045,-51.92608075807428,-51.885249471167896,1m,-52.57603128830535,-52.43581878098383,-57.0,1.1676285297830777,-1.973825185673937,9.701917020322822
HDOK,PLOK,17472,5,5,-55,8,10,2,29,-56.0,-51.049504460351876,-50.527098051609876,-50.35168829775245,-52.01545068785398,-51.8115468173126,-51.50735961063293,-51.289536595022916,-51.252758614872015,-51.11057837505851,-50.99648688159379,-51.74867810439418,-51.94396565646081,-51.78715446018106,-51.72772439571338,-51.676009734560324,-52.10110491122285,-52.15851084260841,-52.08794379326932,-52.199420987583856,-52.132274550065794,-52.17905400403707,-52.48204717793841,-52.407382413534805,-52.43634282539622,-52.74811575199477,-52.898536365363626,-52.90311481503178,-52.863296106133596,1m,-52.013540871984546,-52.01545068785398,-56.0,0.9953091270760905,-1.9940528484403075,7.917164979635132
HDOK,PLOK,17472,6,6,-55,7,10,2,29,-57.0,-51.05940535242225,-51.527600286780405,-51.35202339713606,-53.01570192748847,-53.01254895922703,-52.84252606134212,-52.43176303288894,-52.24989534048129,-51.994546340867664,-51.995106603996526,-51.901583866893056,-51.8233773222439,-51.75695907948247,-51.62430888610531,-51.65100682115836,-52.01056322540406,-52.32920248454686,-52.24823828994557,-52.17546317909408,-52.10965795663518,-52.04983581668272,-52.09929397379848,-52.04391211633417,-51.99289755732237,-52.183234441547164,-52.221015114815714,-52.165917973191846,-52.29087383189413,1m,-52.24684342205951,-52.09929397379848,-57.0,0.9848656069567795,-3.9086496986500503,18.537644696841397
HDOK,PLOK,17472,7,7,-55,7,10,2,29,-56.0,-51.049504460351876,-51.02486288108649,-51.01658891414951,-52.51395768610242,-52.209952936561564,-51.83886707543905,-51.57313913045987,-51.754384132439306,-51.66876626832054,-51.49733123944542,-51.92050389759696,-52.44786069804128,-52.331068116160154,-52.230572637882524,-52.143123807848546,-52.46960037663989,-52.50347316643003,-52.411893820589306,-52.44618173880477,-52.36522104796341,-52.39944225557116,-52.69096373125211,-52.60577385977676,-52.576170518811715,-52.8813016467855,-53.025561553788876,-53.0244081130721,-52.89106069783843,1m,-52.32798401411067,-52.39944225557116,-56.0,0.7936206488453822,-2.183123782330323,9.241135017264334
HDOK,PLOK,17472,8,8,-54,8,10,2,29,-57.0,-51.05940535242225,-51.02983545730379,-50.687122780739,-52.51719492924003,-52.21254013690188,-51.84101984414497,-51.574980810446064,-51.5019446789268,-51.44497710833841,-51.39926389800757,-51.737670551619516,-51.67368242245034,-51.53867379100432,-51.422504109931715,-51.39247947834097,-51.76941394957511,-51.848002584952816,-51.79634917088782,-51.749920216052296,-51.70793790004153,-51.66977266193307,-51.89517061714261,-51.79969290918569,-52.102693446325105,-52.3828147985496,-52.50387648872002,-52.4360154975837,-52.328610558194754,1m,-51.93184710858488,-51.749920216052296,-57.0,1.106068635252505,-3.9651468319385397,19.049886670457784
HDOK,PLOK,17472,9,9,-55,8,10,2,29,-56.0,-50.05940535242225,-50.527600286780405,-50.35202339713606,-52.26595529475148,-52.21255111211667,-51.84102897644855,-51.86400129672324,-51.75425274304308,-51.55515606732408,-51.49812399624339,-51.45130899234481,-51.412160868519116,-51.298248035544944,-51.20023046929788,-51.18600138623669,-51.644034656832574,-51.85835590369162,-51.74515999052249,-51.70171548048848,-51.5504670267928,-51.4668806793838,-51.598735168904334,-51.518191724331906,-51.59060567042987,-51.800051370911646,-51.85555673181412,-51.81695055090117,-51.86911169458052,1m,-51.67220223877649,-51.598735168904334,-56.0,0.9001366976836928,-3.1170535148435783,15.118814974276313
HDOK,PLOK,17472,10,10,-54,7,10,2,29,-57.0,-51.05940535242225,-51.02983545730379,-51.01990669697941,-52.51644518260729,-52.61354364348251,-52.51052001455754,-52.292240300553495,-52.12809528765732,-51.88656982955778,-52.000954292525314,-51.81289934293063,-51.65564209974601,-51.60275432281907,-51.481746569513476,-51.73176606189264,-51.95145496478149,-52.33773181244632,-52.25624808062485,-52.183005980890485,-52.11677849446024,-52.002662051112296,-52.00252348543652,-51.95201687474054,-51.90549311064513,-52.00498193605205,-51.958495041772736,-51.91524386787527,-52.13943288667263,1m,-52.10580665662273,-52.000954292525314,-57.0,1.0138305628466049,-4.0381282837147525,19.856409989141497
