hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-66,7,8,2,19,-68.0,-70.97029732378887,-71.98061193030134,-71.32149613558319,-71.74154737961747,-71.19104096048454,-70.6552149874025,-70.12701325926636,-69.72980878301767,-69.53348634333835,-69.06775403742512,-68.68545580936008,-68.36576645500145,-68.01359919411824,-67.71057295096007,-67.51795008093504,-67.2814753951156,-67.07191128276554,-66.82388359599106,1m,-69.25204662655118,-69.06775403742512,-71.98061193030134,2.7282370734396406,-0.18522375069223268,-1.4003895397632857
HDOK,PLOK,17472,2,2,-57,8,8,2,19,-53.0,-53.99009910792962,-53.497262594306086,-53.33178160077304,-53.24875213798368,-53.19880237247857,-54.004998978095074,-53.85977025725803,-53.8775827437754,-53.77798261052952,-53.69805921212892,-53.63245377054467,-53.75107952371198,-53.85182446912504,-53.863011703394676,-53.80168304920214,-53.747794351856996,-54.0193519882511,-53.95726136345655,1m,-53.68997641235795,-53.77798261052952,-54.0193519882511,0.08407994711580186,1.0559194677185952,0.16417167678614852
HDOK,PLOK,17472,3,3,-56,8,8,2,19,-53.0,-53.0,-52.502235170523385,-52.335099383602945,-52.25123963448855,-52.40159172786141,-53.34165254101804,-53.14777524702402,-53.25602790174139,-53.226970341860024,-53.10092171541135,-53.18541945837409,-53.08259201968135,-53.07592968314966,-53.22119675429661,-53.20547773310673,-53.12444617733122,-53.05263592838388,-53.17125349454623,1m,-52.98328762696847,-53.10092171541135,-53.0,0.10814772744271477,1.3549439224354682,0.4012902958845417
HDOK,PLOK,17472,4,4,-55,8,8,2,19,-53.0,-57.950495539648124,-56.97960745996028,-55.655258104335154,-55.741530924561914,-54.99022645808829,-54.656036129050065,-54.272222077567086,-53.98359625304708,-54.32593914578379,-54.086991695689115,-54.36076388123201,-54.2427264527216,-54.061815531373426,-54.132648342814555,-53.981094832918586,-53.84792671870009,-53.66605022627513,-53.56456800945423,1m,-54.60523672543268,-54.2427264527216,-57.950495539648124,1.3911350984104283,-1.6040344147594556,2.523647287010277
HDOK,PLOK,17472,5,5,-56,8,8,2,19,-53.0,-53.0,-54.991059317906455,-55.992386381828624,-55.744038348150056,-55.59463444224535,-54.99103877495631,-54.70332105511151,-54.35993548722315,-54.09209762162438,-54.18536788565558,-53.979981261324376,-54.328691776808746,-54.221512029925876,-54.053788146199366,-54.334219872907425,-54.177314886088354,-54.357579379682036,-54.27488669563943,1m,-54.441150177014585,-54.328691776808746,-53.0,0.5786767817859959,-0.2068949045261724,0.45214993516985613
HDOK,PLOK,17472,6,6,-57,8,8,2,19,-53.0,-53.0,-53.497764829476615,-54.996036281358684,-54.49652148076954,-54.999223350977616,-54.663522302100056,-54.423132787997446,-54.24236134035047,-54.10136112593638,-54.29641133541005,-54.17457118681433,-54.5064022901276,-54.546218655765955,-54.429479338336236,-54.68321312443108,-54.570068456198264,-54.7891133896048,-54.68013516670513,1m,-54.320817707492644,-54.49652148076954,-53.0,0.31351036752412503,1.3966639345286462,1.4392601129107851
HDOK,PLOK,17472,7,7,-57,8,8,2,19,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.67166292093058,-53.574603372645946,-54.009709577993924,-54.349088772250184,-54.313226324113025,-54.56573638397731,-54.429918922153924,-54.314573624761046,-54.517322984228485,-54.4805601891461,-54.3810377407002,-54.292840843450094,-54.214091504011954,1m,-53.84812490317699,-54.214091504011954,-53.0,0.3920930003907982,0.45401699894009184,-1.6945576286205908
HDOK,PLOK,17472,8,8,-56,8,8,2,19,-53.0,-53.0,-54.49329448842984,-55.66026968167198,-55.49503497053189,-55.395631279390464,-54.99336710374345,-54.7053129256347,-54.48869794152498,-54.31974006901615,-54.38962426018462,-54.25902371564406,-54.58352911060208,-54.455792752013615,-54.34588057914243,-54.67661871329496,-54.563917317782256,-54.78335507993406,-54.97928690243609,1m,-54.557282994261975,-54.563917317782256,-53.0,0.4390833294704341,0.9206804974630467,1.6998857005961017
HDOK,PLOK,17472,9,9,-56,8,8,2,19,-53.0,-53.0,-53.0,-52.66721608375959,-52.75049637936973,-52.80059704360593,-53.50574285756997,-53.432659809847294,-53.885796197303144,-54.12574505904996,-54.01009546787116,-54.197111931908154,-54.00652674209758,-53.84466901701385,-54.08289611629572,-54.21913227702493,-54.06996341563456,-53.93776981563371,-54.18520780870548,1m,-53.61692768540477,-53.885796197303144,-53.0,0.302321103544112,0.5703097281060467,-1.4182414366761331
HDOK,PLOK,17472,10,10,-55,8,8,2,19,-52.0,-55.9603964317185,-54.48681520670097,-53.65924310324882,-53.49426529681588,-53.194214805658774,-53.49743454520988,-53.71456477492088,-54.13189257932319,-54.57089849328565,-54.306785977471804,-54.65388394939619,-54.42367675381119,-54.228169364111466,-54.512942111000875,-54.40542711071302,-54.243735612203686,-54.100444438172765,-54.398885476750024,1m,-54.104404001605964,-54.243735612203686,-55.9603964317185,0.5779426206416114,0.49368450551353665,3.249593807385446
HDOK,PLOK,17472,11,11,-56,8,8,2,19,-53.0,-54.98019821585925,-56.48334933599524,-56.32249845105054,-56.49204549500105,-55.79083803997231,-54.986380972064026,-54.55482999742818,-54.357329896347984,-54.20328147243153,-54.07966644144292,-53.97819654831088,-54.066831361112676,-53.98077474719625,-53.906726374986384,-54.05548177861978,-53.98453286910003,-53.985520642941786,-53.98640260750038,1m,-54.58920448670322,-54.07966644144292,-56.49204549500105,0.9377362339051096,-0.9336908834205668,-0.03570068100534396
HDOK,PLOK,17472,12,12,-56,8,8,2,19,-53.0,-53.0,-53.995529658953224,-55.32815298151533,-54.99577822565071,-54.99662596364594,-54.49344532672623,-54.277633013313114,-53.98831987226426,-53.76265804650753,-53.88977216521444,-53.712166404501964,-54.08410811935325,-53.99665786500983,-53.84591044294716,-54.14111469212153,-53.99719013023911,-54.18895788990268,-54.23835997272692,1m,-54.10170425108385,-53.99719013023911,-53.0,0.3246116676844053,-0.1675932741107896,0.761368017951908
HDOK,PLOK,17472,13,13,-56,8,8,2,19,-52.0,-53.98019821585925,-53.49229001808879,-52.99567990170274,-52.99676102084853,-52.99741141223975,-53.669508997774365,-53.57276070503484,-54.008100972653324,-54.23416901004724,-54.10738085289737,-54.28525418045906,-54.08702322307222,-53.91867219938726,-54.151312067545206,-54.28268634957807,-54.12924541809183,-54.05712867632986,-53.992737003229614,1m,-53.73464843288628,-53.992737003229614,-54.28525418045906,0.3430131125151575,1.6149862884990376,2.528992720081788
