hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-74,6,7,2,11,-74.0,-72.01980178414075,-72.0099451524346,-72.0066355656598,-72.50548172753577,-72.60478166500687,-72.50322931009593,-72.86402849638516,-72.75427648770608,-72.55517711711686,-72.49814288355728,30,-72.57468183542174,-72.50548172753577,-74.0,0.2830947563513177,-1.6811323782389507,4.2196833482323575
HDOK,PLOK,17472,2,2,-62,6,7,2,11,-62.0,-62.0,-61.004470341046776,-60.67019876720589,-60.752732636240104,-60.601582905536254,-60.50056767265766,-60.861751482423045,-60.87931230659083,-60.666022155349005,-60.70033223371547,30,-60.96699731825136,-60.752732636240104,-62.0,0.25464891025723585,-1.6244034572126813,1.3612397057982175
HDOK,PLOK,17472,3,3,-62,7,7,2,11,-62.0,-60.01980178414075,-60.0099451524346,-59.6738516494194,-60.25597810690549,-60.6061800601509,-60.50439289269819,-60.43150492345398,-60.63074081205532,-60.559155688749385,-60.60444433022267,30,-60.4814541272937,-60.50439289269819,-62.0,0.3187740609117568,-1.6291941792131395,4.543091737098957
HDOK,PLOK,17472,4,4,-62,6,7,2,11,-62.0,-60.01980178414075,-60.0099451524346,-61.337771230621435,-61.00298947553084,-60.801587833265756,-61.338651547827915,-61.000701579541975,-60.49251806902431,-60.323126636021435,-60.392662919742726,30,-60.792705111650164,-60.801587833265756,-62.0,0.347365377074486,-0.5002473168721286,-0.24884764196663323
HDOK,PLOK,17472,5,5,-62,6,7,2,11,-62.0,-56.05940535242225,-58.020894775210245,-60.01064482752926,-60.00798092359613,-59.4039742887372,-60.00780357197926,-59.86216956955373,-59.752653688449826,-59.66723221886269,-59.70141798546821,30,-59.49947065470988,-59.752653688449826,-62.0,1.9386241254111296,1.0924750599060213,3.2572002036700374
HDOK,PLOK,17472,6,6,-61,6,7,2,11,-62.0,-60.01980178414075,-59.51218032295799,-60.67287061422438,-60.5044824772824,-60.40318171401681,-61.00714408302181,-60.86160538092969,-61.00620836177482,-60.89201002820829,-60.80037241073854,30,-60.698168834299594,-60.80037241073854,-62.0,0.3592520302552728,-0.13010455536917767,1.810916321419711
HDOK,PLOK,17472,7,7,-62,6,7,2,11,-62.0,-62.99009910792962,-61.00396810587625,-60.669863667822284,-61.00273476386863,-60.801384268049574,-60.49890351325043,-60.86032780459565,-61.259140264463745,-61.002742024004135,-60.89972873142815,30,-61.180808386480756,-61.00273476386863,-62.99009910792962,0.46337900236428614,-1.9802069279809607,3.942040683016187
HDOK,PLOK,17472,8,8,-62,6,7,2,11,-62.0,-60.01980178414075,-61.503239640864436,-61.002985666129746,-61.00223849312725,-60.80098764914379,-60.834404953363126,-61.29185349742292,-61.50882841267203,-61.224092134565424,-61.201070791020065,30,-61.126318456586326,-61.201070791020065,-62.0,0.23093562971697396,0.6067371867987382,1.9220857225066554
HDOK,PLOK,17472,9,9,-62,6,7,2,11,-62.0,-60.01980178414075,-60.50770998191121,-60.67153618205686,-60.7537353585212,-60.60238427982809,-60.501234483600086,-60.86232193495882,-60.87981029819283,-61.687907139278224,-61.51450573810303,30,-60.909177016417374,-60.7537353585212,-62.0,0.31446675471918195,-0.6666891042992847,-0.16796140266702553
HDOK,PLOK,17472,10,10,-62,7,7,2,11,-62.0,-61.00990089207038,-60.50720774674068,-61.669552831394476,-61.25174161351452,-60.79958885420622,-61.336988228796876,-61.43279763112507,-61.504845717006496,-61.33405517333247,-61.1970055508042,30,-61.27669856718103,-61.33405517333247,-62.0,0.1507951568845619,0.23270129680522908,0.5533529595101543
