hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-98,6,7,2,11,-101.0,-101.99009910792962,-100.99949776482947,-100.9996649006164,-100.74949539310249,-100.59899570519593,-100.33049917371909,-99.99372727515204,-99.61345326421383,-99.31684272213803,-99.38702456238723,44,-100.45266362448038,-100.59899570519593,-101.99009910792962,0.6115037828173907,-0.1749180525691016,-0.3747040206162855
HDOK,PLOK,17472,2,2,-93,7,7,2,11,-95.0,-94.00990089207038,-93.50720774674069,-93.67120108267326,-93.75348411888672,-93.60218348945178,-93.50106740908643,-94.00668534059578,-94.00583614457717,-94.0051737787984,-94.00464226822406,44,-93.91521657010043,-94.00464226822406,-95.0,0.15818811724688978,-1.8386424785883346,4.649677242873586
HDOK,PLOK,17472,3,3,-94,6,7,2,11,-94.0,-93.00990089207038,-93.0049725762173,-93.66888561531071,-94.00200147229144,-93.80079822241215,-93.83424733435946,-93.71369330806543,-93.62303741596384,-93.5523265797637,-93.49558518646745,44,-93.60958623662927,-93.66888561531071,-94.00200147229144,0.10449436250798293,0.936964069709725,0.19184743092685785
HDOK,PLOK,17472,4,4,-94,6,7,2,11,-97.0,-95.01980178414075,-94.51218032295799,-94.34173494926276,-94.2562146274983,-94.80717043862711,-94.67163382500283,-94.57457848126414,-94.88266425006508,-94.78248739774953,-94.80483281541251,44,-94.87757262654372,-94.78248739774953,-97.0,0.49865248357855824,-2.732738227510541,8.356744814060828
HDOK,PLOK,17472,5,5,-95,6,7,2,11,-96.0,-95.00990089207038,-95.0049725762173,-95.66888561531071,-96.50250820681745,-96.20080252819142,-96.16708462503759,-95.99843350110902,-95.87160888509501,-95.77268674731427,-95.69330740141548,44,-95.80819917987078,-95.87160888509501,-96.50250820681745,0.196211025006866,0.7015980001408156,0.15594318628481396
HDOK,PLOK,17472,6,6,-94,6,7,2,11,-98.0,-95.02970267621113,-95.0149177286519,-96.00830509721092,-96.00622671866844,-95.80417503360607,-95.8370571258359,-95.57159073004371,-95.49898521873581,-95.32885980483192,-95.29507551088525,44,-95.76317233133464,-95.57159073004371,-98.0,0.6128915219726131,-2.2516078156718073,6.213234093110274
HDOK,PLOK,17472,7,7,-94,7,7,2,11,-95.0,-96.98019821585925,-95.49676035913556,-94.99866258514903,-94.99899727771891,-94.79839727417007,-94.66433381286205,-95.00185237761059,-95.25566427862087,-95.11315426420936,-94.99879814553059,44,-95.20971078098783,-95.0,-96.98019821585925,0.35597112083831817,-2.640984175274242,7.7421258796647505
HDOK,PLOK,17472,8,8,-93,6,7,2,11,-94.0,-94.0,-94.0,-93.6672160837596,-93.50024301210672,-94.2029989453306,-94.00099649895631,-94.00085249854249,-94.38181500612984,-94.33848139940666,-94.30370866365418,44,-94.03602837344421,-94.00085249854249,-94.0,0.06727502743919683,0.6760455975828953,0.16839592891849975
HDOK,PLOK,17472,9,9,-94,7,7,2,11,-95.0,-95.0,-94.50223517052339,-94.33509938360295,-94.25123963448856,-94.40159172786142,-94.33415815962218,-94.14136385123044,-94.25043090451189,-94.33550229215841,-94.30103560486029,44,-94.44115061171448,-94.33509938360295,-95.0,0.07688380220891847,-1.501575407904403,1.1280061267126262
HDOK,PLOK,17472,10,10,-94,7,7,2,11,-95.0,-94.00990089207038,-94.5027374056939,-95.33378623170776,-95.00000173601386,-94.79920003588182,-95.16874896895271,-95.14436367360642,-94.99900248197542,-94.88562197053822,-94.79464060845422,44,-94.87618218226316,-94.99900248197542,-95.33378623170776,0.1195667024137197,1.4282035373100914,2.613476056926884
