hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-87,7,7,2,11,-88.0,-88.0,-87.50223517052339,-88.00066721608377,-87.4999935084861,-87.80119683929802,-88.0024947474325,-87.85762790379506,-87.62166532307835,-87.4376164873367,-87.59812264550408,50,-87.75651089468526,-87.80119683929802,-88.0,0.0478488053728886,0.12896366191279512,-1.9056903183525145
HDOK,PLOK,17472,2,2,-85,6,7,2,11,-85.0,-85.99009910792962,-84.50173293535286,-84.00198036797893,-84.2517381414868,-84.00038743090445,-83.83240664492857,-84.14563762039542,-84.25416180413906,-84.1118223111509,-84.10033462620368,50,-84.38093645367911,-84.14563762039542,-85.99009910792962,0.34689413643543837,-2.111624097264348,4.646159342610983
HDOK,PLOK,17472,3,3,-85,7,7,2,11,-85.0,-84.00990089207038,-83.50720774674069,-84.33676891515407,-84.25249136014725,-84.00098940223988,-84.16873899627292,-83.99984880521738,-83.87284441218279,-83.77378204983239,-83.797021781816,50,-84.06541766924308,-84.00098940223988,-85.0,0.13727730435875063,-1.2872119009207064,2.913414030692458
HDOK,PLOK,17472,4,4,-85,6,7,2,11,-85.0,-83.01980178414075,-83.0099451524346,-83.33941948190021,-84.25549208269206,-84.00338757564211,-83.8349030181718,-84.00326691506126,-83.87582834141477,-84.1169084922414,-84.3103614958978,50,-83.88811948541787,-84.00326691506126,-85.0,0.3143308945544893,-0.010345625026366293,0.18131420959007638
HDOK,PLOK,17472,5,5,-85,6,7,2,11,-85.0,-83.01980178414075,-85.99653412929428,-84.99933576659969,-84.99950199324476,-84.79880064213619,-84.49675371876894,-84.71398233221494,-84.7503133255658,-84.5516637490046,-84.39225884931018,50,-84.70172239002548,-84.7503133255658,-85.99653412929428,0.4494403016795607,0.8960277859878419,3.9705628248041753
HDOK,PLOK,17472,6,6,-85,6,7,2,11,-86.0,-83.02970267621113,-83.0149177286519,-82.01160159976848,-83.25996509667584,-83.2077637539106,-83.17287695145683,-83.43690781012971,-83.76248100296401,-83.78943791833296,-83.7083376978325,50,-83.49036293053945,-83.25996509667584,-86.0,0.8518978772584016,-1.6650269935513102,5.140859098056647
HDOK,PLOK,17472,7,7,-85,7,7,2,11,-86.0,-84.01980178414075,-85.00547481138783,-85.66922071469432,-85.00123924287388,-84.59938769815372,-85.00248826582371,-84.85762235881982,-84.87570767912568,-84.6628266304766,-84.69746499022625,50,-84.9446576523384,-84.87570767912568,-86.0,0.25240141650808273,-0.5728331879798259,1.2370385695503892
HDOK,PLOK,17472,8,8,-85,6,7,2,11,-86.0,-83.02970267621113,-83.51268255812852,-84.00763788112717,-83.75547310839333,-83.80457443871536,-84.34113665524254,-84.29184024683681,-84.25476964854319,-84.11236116903031,-84.10081812635092,50,-84.11009059168902,-84.10081812635092,-86.0,0.4939018726764495,-1.5941761094073215,4.700604692779467
HDOK,PLOK,17472,9,9,-85,6,7,2,11,-86.0,-83.02970267621113,-83.0149177286519,-83.34273726473012,-83.25696611014489,-83.2053669679283,-83.67462981424089,-84.58868588884488,-84.51390888895186,-84.34208973214729,-84.20421470653616,50,-83.92483816167159,-83.67462981424089,-86.0,0.7582277443353937,-1.1510978212503313,1.317308106283571
HDOK,PLOK,17472,10,10,-85,7,7,2,11,-86.0,-85.00990089207038,-84.00944291726407,-83.67351655003579,-84.00547350000798,-83.80357306227063,-83.66864050472418,-84.00553672520789,-84.00483343044897,-83.89079114295812,-83.79927874352042,50,-84.1700897698644,-84.00483343044897,-86.0,0.4553660751333044,-2.182956130817669,4.5141831876831775
HDOK,PLOK,17472,11,11,-86,6,7,2,11,-87.0,-84.02970267621113,-84.0149177286519,-85.00830509721092,-85.25648008593146,-85.00417718649571,-85.17139150140761,-85.00211800655165,-84.87482537139823,-84.77553818261043,-85.00406070438909,50,-85.01286514007802,-85.00406070438909,-87.0,0.5519417838998966,-1.5255662252313396,4.550091013718736
HDOK,PLOK,17472,12,12,-89,7,7,2,11,-89.0,-87.01980178414075,-89.00100447034106,-88.66788628252681,-88.5007454913757,-88.40019511993084,-88.50091179436475,-88.86204587636283,-89.13361650223291,-89.00495814440514,-88.90171718623442,50,-88.63571660471958,-88.86204587636283,-89.13361650223291,0.31603981742317927,2.347015833517218,6.368724315007246
HDOK,PLOK,17472,13,13,-86,6,7,2,11,-87.0,-85.01980178414075,-85.0099451524346,-86.00498731438103,-86.5042459566896,-86.2021913355406,-86.33615596001924,-86.28757929363508,-86.12402633860957,-85.99645640416011,-86.30501524361861,50,-86.07185498029357,-86.2021913355406,-87.0,0.3166822623557248,0.8552520531437781,0.7948900790994493
