hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-129,-12,9,2,33,-118,-118,-116,-118,-118,-117,-117,-118,-119,-118,-119,-118,-117,-119,-118,-117,-117,-118,-115,-116,-117,-119,-118,-119,-121,-118,-118,-119,-119,-117,-117,-119,-117,356,0.5541838134430727
HDOK,PLOK,17472,2,2,-128,-10,9,2,33,-117,-117,-119,-118,-118,-114,-117,-119,-117,-118,-118,-117,-119,-119,-119,-118,-118,-117,-117,-119,-119,-118,-119,-119,-118,-118,-121,-119,-121,-121,-116,-117,-118,356,0.8587105624142664
HDOK,PLOK,17472,3,3,-127,-10,9,2,33,-118,-118,-116,-117,-118,-119,-118,-119,-118,-119,-118,-118,-118,-117,-117,-118,-119,-118,-117,-118,-117,-118,-119,-117,-118,-118,-119,-118,-118,-118,-118,-118,-117,356,0.2962962962962963
HDOK,PLOK,17472,4,4,-126,-9,9,2,33,-117,-117,-118,-118,-118,-118,-117,-118,-118,-119,-119,-117,-117,-119,-117,-118,-118,-118,-118,-118,-117,-118,-121,-121,-119,-118,-118,-118,-121,-119,-117,-119,-119,356,0.6913580246913582
HDOK,PLOK,17472,5,5,-127,-10,9,2,33,-117,-118,-118,-119,-117,-118,-118,-118,-119,-117,-120,-117,-116,-119,-119,-121,-118,-121,-119,-117,-119,-119,-119,-118,-116,-119,-118,-118,-116,-116,-119,-118,-117,356,0.6913580246913582
HDOK,PLOK,17472,6,6,-126,-9,9,2,33,-115,-118,-119,-118,-119,-118,-117,-118,-118,-119,-118,-117,-119,-119,-117,-119,-117,-117,-119,-118,-118,-117,-118,-113,-118,-118,-119,-118,-118,-118,-118,-118,-119,356,0.39506172839506176
HDOK,PLOK,17472,7,7,-127,-10,9,2,33,-115,-117,-117,-117,-119,-119,-118,-117,-119,-117,-117,-116,-118,-117,-117,-119,-118,-118,-118,-119,-118,-119,-119,-118,-119,-118,-119,-118,-118,-118,-119,-118,-117,356,0.5541838134430727
HDOK,PLOK,17472,8,8,-126,-9,9,2,33,-118,-117,-119,-118,-119,-116,-119,-116,-119,-118,-117,-116,-119,-116,-118,-118,-116,-119,-118,-119,-118,-119,-118,-119,-118,-116,-118,-116,-117,-119,-118,-119,-117,356,0.924554183813443
HDOK,PLOK,17472,9,9,-125,-9,9,2,33,-118,-118,-118,-117,-117,-119,-118,-117,-118,-118,-121,-119,-119,-119,-118,-119,-117,-118,-118,-118,-115,-118,-118,-118,-118,-119,-116,-119,-116,-118,-117,-117,-121,356,0.43895747599451296
HDOK,PLOK,17472,10,10,-126,-9,9,2,33,-117,-118,-118,-118,-118,-120,-118,-115,-118,-116,-119,-118,-118,-117,-118,-117,-117,-116,-116,-118,-118,-119,-116,-119,-117,-119,-119,-118,-118,-119,-118,-117,-118,356,0.5432098765432098
HDOK,PLOK,17472,11,11,-126,-9,9,2,33,-116,-119,-118,-118,-118,-115,-117,-119,-116,-116,-117,-118,-121,-118,-117,-117,-119,-118,-119,-119,-120,-118,-118,-118,-117,-118,-117,-117,-119,-117,-118,-118,-118,356,0.513031550068587
HDOK,PLOK,17472,12,12,-126,-9,9,2,33,-117,-119,-117,-118,-119,-118,-119,-119,-118,-117,-118,-119,-117,-118,-119,-117,-117,-117,-117,-118,-119,-118,-117,-118,-119,-119,-121,-119,-119,-117,-117,-115,-118,356,0.6611796982167353
HDOK,PLOK,17472,13,13,-126,-9,9,2,33,-117,-118,-119,-121,-117,-118,-119,-119,-117,-117,-118,-118,-118,-119,-116,-118,-117,-118,-117,-118,-119,-119,-119,-119,-116,-119,-116,-117,-119,-117,-119,-119,-118,356,0.644718792866941
HDOK,PLOK,17472,14,14,-127,-9,9,2,33,-116,-117,-118,-118,-117,-117,-118,-118,-119,-118,-118,-117,-118,-118,-119,-117,-117,-118,-117,-118,-118,-116,-119,-117,-116,-119,-114,-117,-118,-118,-119,-118,-118,356,0.3950617283950617
HDOK,PLOK,17472,15,15,-126,-10,9,2,33,-116,-119,-117,-117,-118,-119,-118,-119,-119,-121,-117,-119,-121,-118,-118,-118,-118,-119,-118,-118,-119,-118,-119,-116,-116,-119,-119,-117,-117,-117,-118,-117,-118,356,0.5706447187928669
HDOK,PLOK,17472,16,16,-126,-9,9,2,33,-115,-119,-118,-118,-117,-117,-117,-118,-118,-115,-118,-121,-119,-117,-118,-116,-118,-116,-119,-118,-117,-117,-118,-118,-116,-118,-118,-118,-118,-117,-118,-119,-118,356,0.46913580246913583
HDOK,PLOK,17472,17,17,-126,-9,9,2,33,-116,-119,-118,-119,-117,-118,-119,-118,-119,-118,-117,-118,-119,-118,-119,-117,-118,-118,-117,-118,-119,-119,-117,-121,-118,-117,-119,-118,-118,-117,-119,-118,-121,356,0.46913580246913583
HDOK,PLOK,17472,18,18,-124,-8,9,2,33,-117,-118,-114,-118,-116,-117,-118,-118,-117,-119,-118,-117,-118,-118,-118,-117,-117,-101,-117,-116,-117,-116,-118,-117,-118,-116,-115,-117,-119,-117,-115,-117,-118,356,0.48834019204389584
HDOK,PLOK,17472,19,19,-126,-9,9,2,33,-117,-117,-119,-117,-118,-118,-117,-117,-118,-118,-118,-118,-116,-118,-117,-119,-115,-119,-118,-118,-117,-118,-119,-117,-117,-119,-119,-119,-117,-118,-118,-119,-118,356,0.513031550068587
HDOK,PLOK,17472,20,20,-126,-9,9,2,33,-115,-119,-118,-118,-116,-117,-117,-118,-117,-118,-118,-117,-117,-118,-118,-117,-119,-119,-118,-117,-117,-118,-118,-119,-118,-119,-117,-118,-118,-118,-117,-117,-119,356,0.4471879286694102
HDOK,PLOK,17472,21,21,-127,-10,9,2,33,-117,-118,-118,-117,-117,-115,-118,-118,-119,-117,-118,-118,-118,-118,-118,-118,-116,-119,-117,-118,-119,-119,-119,-116,-116,-118,-117,-118,-117,-118,-119,-121,-119,356,0.4801097393689986
HDOK,PLOK,17472,22,22,-126,-9,9,2,33,-118,-119,-118,-118,-118,-119,-119,-119,-119,-116,-118,-118,-118,-117,-118,-117,-117,-118,-117,-118,-119,-118,-118,-118,-119,-117,-118,-118,-119,-119,-119,-118,-118,356,0.32098765432098764
