hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,realtime_average_rssi,median_rssi,mode_rssi,rssi_variance,rssi_skewness,rssi_kurtosis
HDOK,PLOK,17472,1,1,-64,9,11,2,33,-56.0,-55.00990089207038,-56.00050223517053,-56.000335099383605,-56.75101134142352,-58.206618061350035,-58.17192363869919,-58.002573246632544,-58.00224638358586,-57.888497709676315,-57.797220918309286,-57.91026126132253,-57.91804551404804,-57.843990802835066,-57.855769477941514,-57.937082532825755,-58.008531265274854,-58.19957474862651,-58.97927244937588,-58.9804809123805,-58.98157363729595,-59.03647744259619,-59.034578710651985,-59.53663144138009,-59.55927562982091,-59.62770986417589,-59.73744357857192,-59.884663323050205,-60.02201981659299,-60.1073597547035,-60.187377940050446,-60.17960489128327,-60.13153364733661,1m,-58.40879055055884,-58.19957474862651,-60.187377940050446,1.783686977850666,0.6701763994531429,0.044536398973136215
HDOK,PLOK,17472,2,2,-61,9,11,2,33,-67.0,-58.089108028633376,-60.533577333338755,-59.690443546252354,-59.26740435663468,-60.21771595810576,-60.516989484482416,-60.153268554253664,-60.76891782267966,-60.45466302899564,-60.202491568412334,-60.089478246653535,-60.25520359988237,-60.15395182240469,-59.991328725996986,-59.92088141179644,-59.85898026552615,-59.804123405365274,-59.7551427537096,-59.7111162260405,-59.55934149626631,-59.5291871544975,-59.449589565076174,-59.8299753076261,-59.7405469143157,-59.65787114516402,-59.581183915384834,-59.64520663697421,-59.61675920722415,-59.547004145044276,-59.43932036823351,-59.6699955157175,-59.601939879106375,1m,-60.039475981508936,-59.7551427537096,-67.0,1.732315818875927,-4.579443437911502,24.614436174833294
HDOK,PLOK,17472,3,3,-62,9,11,2,33,-58.0,-57.00990089207038,-58.00050223517053,-58.000335099383605,-59.75202481047556,-60.805825321370484,-60.50259884385996,-60.14095745239212,-59.996028931236516,-59.76949217567256,-59.58770941316741,-59.62645756739302,-59.485372937293526,-59.36555440734962,-59.33795509476968,-59.31393881427405,-59.22561656377503,-59.338933607180145,-59.50102410865004,-59.41351101377251,-59.334379307766135,-59.37026320691539,-59.24688573999799,-59.486345159164486,-59.364840867892056,-59.3000110907717,-59.23987719585212,-59.22905296634682,-59.21895392551898,-59.12321717736425,-59.033450521470535,-58.99057961948658,-59.07246749399172,1m,-59.27830495641805,-59.33795509476968,-60.805825321370484,0.49181524259795,1.0356111033619482,3.0200683921912383
HDOK,PLOK,17472,4,4,-60,8,11,2,33,-65.0,-57.07920713656301,-59.03083992764485,-58.35500906326581,-58.01591348251164,-59.21752614294422,-59.51683154227234,-59.1531334356938,-60.40391785906514,-60.01759454684685,-59.707592230709004,-59.54710821961798,-59.499650135044085,-59.37867992608191,-59.199089885618314,-59.11387833095273,-59.03900403703349,-59.03651313114062,-59.034289048437245,-58.97398766146747,-58.86347914065264,-58.81692860704967,-58.774405657743415,-59.18880681364896,-59.081842814847576,-58.982955531457065,-58.89123105279276,-58.85101510219601,-58.81349349136836,-58.73525033018026,-58.66188637055361,-58.59294589762309,-58.52803018609601,1m,-59.18491020421574,-59.034289048437245,-65.0,1.3735940768859334,-3.6852031297834063,18.658041217602413
HDOK,PLOK,17472,5,5,-61,8,11,2,33,-57.0,-57.99009910792962,-59.48832191221254,-58.99303231764004,-58.99477600361264,-60.20063309837625,-59.99902791492092,-59.565649376900794,-59.747845754327976,-59.54947623161449,-59.39029605908172,-59.35361500844913,-59.23619769822058,-59.13647904359724,-59.05067501625093,-58.97601034543948,-58.91040346231595,-58.97998811670018,-59.468501951404264,-59.382884971729865,-59.24948540767079,-59.236035541534534,-59.171697144984535,-59.46532400519551,-59.39371562287598,-59.3275142983657,-59.2198517551495,-59.16480710902017,-59.157540694839824,-59.10759861145258,-59.06077088959605,-59.3071495054683,-59.21312857734369,1m,-59.19662219861278,-59.236035541534534,-60.20063309837625,0.27922499006005225,2.268986135904664,8.972182720123097
HDOK,PLOK,17472,6,6,-62,10,11,2,33,-67.0,-59.07920713656301,-61.03083992764485,-60.0222251470254,-59.76640986188137,-60.81732183501206,-61.015912102716214,-60.58009369256753,-61.14152609606296,-60.89847632550823,-60.600711214845106,-60.45027216286484,-60.584700987225474,-60.456870098481815,-60.271376709664715,-60.181028198435065,-60.10164012704589,-60.03128633566985,-59.968468767585556,-59.91200485161298,-59.80496627580676,-59.761570196032466,-59.72192877503241,-60.08859421012388,-59.93765883047798,-59.79812038924587,-59.66868928003942,-59.72876340557072,-59.784812757271936,-59.70780702611133,-59.67788193393071,-59.649761177936625,-59.58253013080859,1m,-60.32798351414551,-60.0222251470254,-67.0,1.6285961276219414,-4.4873437059105346,23.255351711178655
HDOK,PLOK,17472,7,7,-62,10,11,2,33,-58.0,-58.99009910792962,-60.48832191221254,-59.660248401399635,-59.49501901571936,-60.60042663755445,-60.83543702072365,-60.57020474038651,-61.76801126587144,-61.34036563722309,-61.09993613057956,-60.902578607390055,-60.91102928044523,-60.75687491738007,-60.62423107823123,-60.50880749158254,-60.407386274872394,-60.38136945841102,-60.29722767644226,-60.221596373738976,-60.09722612872591,-60.03807419398813,-59.9840401254708,-60.33750052733572,-60.22327006988053,-60.117665008880756,-60.06596579594601,-60.15323724341066,-60.14648094943101,-60.09701603866492,-60.09291433609212,-60.37944280198404,-60.323227765971005,1m,-60.300461576178016,-60.323227765971005,-61.76801126587144,0.423787466438113,1.1194879653256227,4.238993725032882
HDOK,PLOK,17472,8,8,-61,10,11,2,33,-67.0,-57.09900892070375,-58.54302025060283,-58.029527928768964,-58.02213846516623,-59.42330249220657,-59.68805480558369,-59.444120189269526,-61.16603682149214,-60.69321779049936,-60.416539217564214,-60.283409134506826,-60.17208172785432,-59.99686940708609,-59.92160589004351,-59.856113326373794,-59.79856585548237,-59.81142999816516,-59.82291614756829,-59.77493827800352,-59.67557301475057,-59.6391525815938,-59.6058832694513,-59.97839501663276,-59.881713554902944,-59.792332387296845,-59.66316901049936,-59.63324414188087,-59.605324143529224,-59.53606244707475,-59.42884126996739,-59.36956826873243,-59.35450762721385,1m,-59.822020102438415,-59.68805480558369,-67.0,2.167972792170724,-3.3731839552434346,17.343544255330684
HDOK,PLOK,17472,9,9,-60,9,11,2,33,-57.0,-57.0,-57.995529658953224,-57.9970173165537,-57.747510375866604,-59.203820094408634,-59.50542695488521,-59.14337688345298,-59.63325902915774,-59.4478943805443,-59.19641827404666,-59.08397573647322,-59.07669138675812,-58.98983940775298,-58.83960677837058,-58.77994136066436,-58.72751412776523,-58.744915830678444,-58.8213653408978,-58.77347788686367,-58.73017675645197,-58.744723044108845,-58.70595855480273,-59.12380804008082,-59.06888907642327,-59.01811697381329,-58.97102249934785,-58.927206035884495,-58.97450596924163,-58.93246091752622,-58.8930377726825,-59.02192471051639,-58.93952725970955,1m,-58.78057389196009,-58.93246091752622,-57.0,0.3495163532660799,1.7961117521840515,3.4095288494316534
HDOK,PLOK,17472,10,10,-66,9,11,2,33,-69.0,-60.089108028633376,-61.040282844908916,-60.361309529542005,-60.020637235886895,-61.42210271179549,-61.51914075694381,-61.15510895421215,-62.91373683347243,-62.469552267551954,-62.113119611605406,-61.91452307017892,-61.92193763866667,-61.84756896680553,-61.78357761455369,-61.79895735226101,-61.87969078401691,-61.95123683514822,-61.95420709018035,-61.95687692022416,-61.84732629937079,-61.80164657242136,-61.75991908697595,-62.12467058995169,-62.0697094746603,-61.97139852346981,-61.92646507855535,-62.06515540826377,-62.19455393048339,-62.18615990281522,-62.178289322209814,-62.129410033853254,-62.00188035484113,1m,-61.98088665528665,-61.92646507855535,-69.0,1.9069037958833228,-3.9389522039562386,20.71913732685537
